region,period,total,year,month
total national,2012-10,152487.0,2012,10
total national,2012-09,359387.0,2012,9
total national,2012-08,1139581.0,2012,8
total national,2012-07,827407.0,2012,7
total national,2012-06,519954.0,2012,6
total national,2012-05,278162.0,2012,5
total national,2012-04,332096.0,2012,4
total national,2012-03,136667.0,2012,3
total national,2012-02,69250.0,2012,2
total national,2012-01,57018.0,2012,1
total national,2011-12,83158.0,2011,12
total national,2011-11,84670.0,2011,11
total national,2011-10,173568.0,2011,10
total national,2011-09,377342.0,2011,9
total national,2011-08,1149244.0,2011,8
total national,2011-07,908183.0,2011,7
total national,2011-06,507570.0,2011,6
total national,2011-05,284073.0,2011,5
total national,2011-04,376361.0,2011,4
total national,2011-03,125681.0,2011,3
total national,2011-02,80935.0,2011,2
total national,2011-01,59260.0,2011,1
total national,2010-12,85102.0,2010,12
total national,2010-11,74745.0,2010,11
total national,2010-10,184854.0,2010,10
total national,2010-09,339788.0,2010,9
total national,2010-08,1165474.0,2010,8
total national,2010-07,897041.0,2010,7
total national,2010-06,480070.0,2010,6
total national,2010-05,305170.0,2010,5
total national,2010-04,332885.0,2010,4
total national,2010-03,158224.0,2010,3
total national,2010-02,70093.0,2010,2
total national,2010-01,58144.0,2010,1
total national,2009-12,84948.0,2009,12
total national,2009-11,85164.0,2009,11
total national,2009-10,192590.0,2009,10
total national,2009-09,353426.0,2009,9
total national,2009-08,1171449.0,2009,8
total national,2009-07,892606.0,2009,7
total national,2009-06,483972.0,2009,6
total national,2009-05,319182.0,2009,5
total national,2009-04,361748.0,2009,4
total national,2009-03,145463.0,2009,3
total national,2009-02,82247.0,2009,2
total national,2009-01,61626.0,2009,1
total national,2008-12,89720.0,2008,12
total national,2008-11,93660.0,2008,11
total national,2008-10,151670.0,2008,10
total national,2008-09,346687.0,2008,9
total national,2008-08,1209348.0,2008,8
total national,2008-07,858443.0,2008,7
total national,2008-06,489605.0,2008,6
total national,2008-05,293385.0,2008,5
total national,2008-04,225033.0,2008,4
total national,2008-03,282555.0,2008,3
total national,2008-02,94379.0,2008,2
total national,2008-01,64089.0,2008,1
total national,2007-12,97068.0,2007,12
total national,2007-11,116868.0,2007,11
total national,2007-10,173625.0,2007,10
total national,2007-09,360652.0,2007,9
total national,2007-08,1186710.0,2007,8
total national,2007-07,892759.0,2007,7
total national,2007-06,522511.0,2007,6
total national,2007-05,278516.0,2007,5
total national,2007-04,412865.0,2007,4
total national,2007-03,157941.0,2007,3
total national,2007-02,85088.0,2007,2
total national,2007-01,61547.0,2007,1
total national,2006-12,117391.0,2006,12
total national,2006-11,97910.0,2006,11
total national,2006-10,167014.0,2006,10
total national,2006-09,374145.0,2006,9
total national,2006-08,1194813.0,2006,8
total national,2006-07,986822.0,2006,7
total national,2006-06,517780.0,2006,6
total national,2006-05,295309.0,2006,5
total national,2006-04,466252.0,2006,4
total national,2006-03,131249.0,2006,3
total national,2006-02,85344.0,2006,2
total national,2006-01,65346.0,2006,1
total national,2005-12,88972.0,2005,12
total national,2005-11,88926.0,2005,11
total national,2005-10,171122.0,2005,10
total national,2005-09,373759.0,2005,9
total national,2005-08,1298465.0,2005,8
total national,2005-07,1019819.0,2005,7
total national,2005-06,494639.0,2005,6
total national,2005-05,317087.0,2005,5
total national,2005-04,256875.0,2005,4
total national,2005-03,235675.0,2005,3
total national,2005-02,77505.0,2005,2
total national,2005-01,68505.0,2005,1
total national,2004-12,87666.0,2004,12
total national,2004-11,91781.0,2004,11
total national,2004-10,177535.0,2004,10
total national,2004-09,368749.0,2004,9
total national,2004-08,1335698.0,2004,8
total national,2004-07,956370.0,2004,7
total national,2004-06,509493.0,2004,6
