region,period,total,year,month
"03 asturias, principado de",2017-10,1.9,2017,10
"03 asturias, principado de",2017-09,2.05,2017,9
"03 asturias, principado de",2017-08,2.45,2017,8
"03 asturias, principado de",2017-07,2.24,2017,7
"03 asturias, principado de",2017-06,1.99,2017,6
"03 asturias, principado de",2017-05,1.81,2017,5
"03 asturias, principado de",2017-04,1.96,2017,4
"03 asturias, principado de",2017-03,1.77,2017,3
"03 asturias, principado de",2017-02,1.74,2017,2
"03 asturias, principado de",2017-01,1.82,2017,1
"03 asturias, principado de",2016-12,1.88,2016,12
"03 asturias, principado de",2016-11,1.84,2016,11
"03 asturias, principado de",2016-10,2.02,2016,10
"03 asturias, principado de",2016-09,2.03,2016,9
"03 asturias, principado de",2016-08,2.47,2016,8
"03 asturias, principado de",2016-07,2.16,2016,7
"03 asturias, principado de",2016-06,1.91,2016,6
"03 asturias, principado de",2016-05,1.77,2016,5
"03 asturias, principado de",2016-04,1.79,2016,4
"03 asturias, principado de",2016-03,1.98,2016,3
"03 asturias, principado de",2016-02,1.74,2016,2
"03 asturias, principado de",2016-01,1.82,2016,1
"03 asturias, principado de",2015-12,1.79,2015,12
"03 asturias, principado de",2015-11,1.77,2015,11
"03 asturias, principado de",2015-10,1.89,2015,10
"03 asturias, principado de",2015-09,2.02,2015,9
"03 asturias, principado de",2015-08,2.41,2015,8
"03 asturias, principado de",2015-07,2.17,2015,7
"03 asturias, principado de",2015-06,1.81,2015,6
"03 asturias, principado de",2015-05,1.77,2015,5
"03 asturias, principado de",2015-04,1.88,2015,4
"03 asturias, principado de",2015-03,1.85,2015,3
"03 asturias, principado de",2015-02,1.8,2015,2
"03 asturias, principado de",2015-01,1.8,2015,1
"03 asturias, principado de",2014-12,1.8,2014,12
"03 asturias, principado de",2014-11,1.92,2014,11
"03 asturias, principado de",2014-10,1.91,2014,10
"03 asturias, principado de",2014-09,2.0,2014,9
"03 asturias, principado de",2014-08,2.36,2014,8
"03 asturias, principado de",2014-07,2.09,2014,7
"03 asturias, principado de",2014-06,1.83,2014,6
"03 asturias, principado de",2014-05,1.86,2014,5
"03 asturias, principado de",2014-04,1.83,2014,4
"03 asturias, principado de",2014-03,1.73,2014,3
"03 asturias, principado de",2014-02,1.66,2014,2
"03 asturias, principado de",2014-01,1.85,2014,1
"04 balears, illes",2025-02,3.72,2025,2
"04 balears, illes",2025-01,3.52,2025,1
"04 balears, illes",2024-12,2.97,2024,12
"04 balears, illes",2024-11,3.36,2024,11
"04 balears, illes",2024-10,5.17,2024,10
"04 balears, illes",2024-09,5.36,2024,9
"04 balears, illes",2024-08,5.52,2024,8
"04 balears, illes",2024-07,5.37,2024,7
"04 balears, illes",2024-06,4.98,2024,6
"04 balears, illes",2024-05,4.7,2024,5
"04 balears, illes",2024-04,4.43,2024,4
"04 balears, illes",2024-03,4.51,2024,3
"04 balears, illes",2024-02,3.93,2024,2
"04 balears, illes",2024-01,3.28,2024,1
"04 balears, illes",2023-12,3.07,2023,12
"04 balears, illes",2023-11,3.66,2023,11
"04 balears, illes",2023-10,5.37,2023,10
"04 balears, illes",2023-09,5.36,2023,9
"04 balears, illes",2023-08,5.59,2023,8
"04 balears, illes",2023-07,5.38,2023,7
"04 balears, illes",2023-06,4.96,2023,6
"04 balears, illes",2023-05,4.86,2023,5
"04 balears, illes",2023-04,4.37,2023,4
"04 balears, illes",2023-03,4.1,2023,3
"04 balears, illes",2023-02,3.74,2023,2
"04 balears, illes",2023-01,3.13,2023,1
"04 balears, illes",2022-12,3.08,2022,12
"04 balears, illes",2022-11,3.58,2022,11
"04 balears, illes",2022-10,5.23,2022,10
"04 balears, illes",2022-09,5.36,2022,9
"04 balears, illes",2022-08,5.52,2022,8
"04 balears, illes",2022-07,5.45,2022,7
"04 balears, illes",2022-06,5.14,2022,6
"04 balears, illes",2022-05,4.63,2022,5
"04 balears, illes",2022-04,4.49,2022,4
"04 balears, illes",2022-03,4.04,2022,3
"04 balears, illes",2022-02,3.35,2022,2
"04 balears, illes",2022-01,3.02,2022,1
"04 balears, illes",2021-12,2.9,2021,12
"04 balears, illes",2021-11,3.61,2021,11
"04 balears, illes",2021-10,5.2,2021,10
"04 balears, illes",2021-09,5.3,2021,9
"04 balears, illes",2021-08,5.51,2021,8
"04 balears, illes",2021-07,5.39,2021,7
"04 balears, illes",2021-06,4.33,2021,6
"04 balears, illes",2021-05,4.13,2021,5
"04 balears, illes",2021-04,3.72,2021,4
"04 balears, illes",2021-03,2.97,2021,3
"04 balears, illes",2021-02,2.17,2021,2
"04 balears, illes",2021-01,2.43,2021,1
"04 balears, illes",2020-12,2.32,2020,12
"04 balears, illes",2020-11,2.14,2020,11
"04 balears, illes",2020-10,2.61,2020,10
"04 balears, illes",2020-09,3.6,2020,9
"04 balears, illes",2020-08,4.65,2020,8
"04 balears, illes",2020-07,4.73,2020,7
"04 balears, illes",2020-06,2.9,2020,6
"04 balears, illes",2020-05,2.79,2020,5
"04 balears, illes",2020-04,0.0,2020,4
"04 balears, illes",2020-03,4.43,2020,3
"04 balears, illes",2020-02,3.73,2020,2
"04 balears, illes",2020-01,3.42,2020,1
"04 balears, illes",2019-12,3.31,2019,12
"04 balears, illes",2019-11,3.33,2019,11
"04 balears, illes",2019-10,5.74,2019,10
"04 balears, illes",2019-09,5.73,2019,9
"04 balears, illes",2019-08,5.96,2019,8
"04 balears, illes",2019-07,5.84,2019,7
"04 balears, illes",2019-06,5.57,2019,6
"04 balears, illes",2019-05,5.05,2019,5
"04 balears, illes",2019-04,4.65,2019,4
"04 balears, illes",2019-03,4.45,2019,3
"04 balears, illes",2019-02,3.88,2019,2
"04 balears, illes",2019-01,3.09,2019,1
"04 balears, illes",2018-12,3.14,2018,12
"04 balears, illes",2018-11,3.71,2018,11
"04 balears, illes",2018-10,5.93,2018,10
"04 balears, illes",2018-09,5.86,2018,9
"04 balears, illes",2018-08,6.35,2018,8
"04 balears, illes",2018-07,6.1,2018,7
"04 balears, illes",2018-06,5.68,2018,6
"04 balears, illes",2018-05,5.34,2018,5
"04 balears, illes",2018-04,5.12,2018,4
"04 balears, illes",2018-03,4.79,2018,3
"04 balears, illes",2018-02,3.98,2018,2
"04 balears, illes",2018-01,3.42,2018,1
"04 balears, illes",2017-12,3.4,2017,12
"04 balears, illes",2017-11,3.85,2017,11
"04 balears, illes",2017-10,6.12,2017,10
"04 balears, illes",2017-09,5.95,2017,9
"04 balears, illes",2017-08,6.26,2017,8
"04 balears, illes",2017-07,5.99,2017,7
"04 balears, illes",2017-06,6.03,2017,6
"04 balears, illes",2017-05,5.56,2017,5
"04 balears, illes",2017-04,5.17,2017,4
"04 balears, illes",2017-03,4.89,2017,3
"04 balears, illes",2017-02,4.02,2017,2
"04 balears, illes",2017-01,4.03,2017,1
"04 balears, illes",2016-12,3.47,2016,12
"04 balears, illes",2016-11,4.42,2016,11
