Total Nacional;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2017M09;11.566
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2017M08;14.207
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2017M07;13.507
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2017M06;8.110
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2017M05;15.812
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2017M04;8.658
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2017M03;6.478
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2017M02;3.610
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en el Extranjero;2017M01;3.597
Total Nacional;14 Murcia, Región de;Viajero;Total;2024M10;14.817
Total Nacional;14 Murcia, Región de;Viajero;Total;2024M09;17.894
Total Nacional;14 Murcia, Región de;Viajero;Total;2024M08;32.797
Total Nacional;14 Murcia, Región de;Viajero;Total;2024M07;22.730
Total Nacional;14 Murcia, Región de;Viajero;Total;2024M06;18.025
Total Nacional;14 Murcia, Región de;Viajero;Total;2024M05;13.197
Total Nacional;14 Murcia, Región de;Viajero;Total;2024M04;12.127
Total Nacional;14 Murcia, Región de;Viajero;Total;2024M03;16.984
Total Nacional;14 Murcia, Región de;Viajero;Total;2024M02;7.965
Total Nacional;14 Murcia, Región de;Viajero;Total;2024M01;8.625
Total Nacional;14 Murcia, Región de;Viajero;Total;2023M12;9.536
Total Nacional;14 Murcia, Región de;Viajero;Total;2023M11;9.008
Total Nacional;14 Murcia, Región de;Viajero;Total;2023M10;13.650
Total Nacional;14 Murcia, Región de;Viajero;Total;2023M09;14.083
Total Nacional;14 Murcia, Región de;Viajero;Total;2023M08;28.244
Total Nacional;14 Murcia, Región de;Viajero;Total;2023M07;25.186
Total Nacional;14 Murcia, Región de;Viajero;Total;2023M06;19.995
Total Nacional;14 Murcia, Región de;Viajero;Total;2023M05;9.214
Total Nacional;14 Murcia, Región de;Viajero;Total;2023M04;18.798
Total Nacional;14 Murcia, Región de;Viajero;Total;2023M03;9.913
Total Nacional;14 Murcia, Región de;Viajero;Total;2023M02;6.152
Total Nacional;14 Murcia, Región de;Viajero;Total;2023M01;8.027
Total Nacional;14 Murcia, Región de;Viajero;Total;2022M12;6.673
Total Nacional;14 Murcia, Región de;Viajero;Total;2022M11;7.258
Total Nacional;14 Murcia, Región de;Viajero;Total;2022M10;11.960
Total Nacional;14 Murcia, Región de;Viajero;Total;2022M09;13.631
Total Nacional;14 Murcia, Región de;Viajero;Total;2022M08;24.775
Total Nacional;14 Murcia, Región de;Viajero;Total;2022M07;23.457
Total Nacional;14 Murcia, Región de;Viajero;Total;2022M06;16.580
Total Nacional;14 Murcia, Región de;Viajero;Total;2022M05;10.491
Total Nacional;14 Murcia, Región de;Viajero;Total;2022M04;15.671
Total Nacional;14 Murcia, Región de;Viajero;Total;2022M03;6.200
Total Nacional;14 Murcia, Región de;Viajero;Total;2022M02;6.739
Total Nacional;14 Murcia, Región de;Viajero;Total;2022M01;6.619
Total Nacional;14 Murcia, Región de;Viajero;Total;2021M12;6.684
Total Nacional;14 Murcia, Región de;Viajero;Total;2021M11;6.887
Total Nacional;14 Murcia, Región de;Viajero;Total;2021M10;12.583
Total Nacional;14 Murcia, Región de;Viajero;Total;2021M09;13.721
Total Nacional;14 Murcia, Región de;Viajero;Total;2021M08;27.571
Total Nacional;14 Murcia, Región de;Viajero;Total;2021M07;24.644
Total Nacional;14 Murcia, Región de;Viajero;Total;2021M06;15.445
Total Nacional;14 Murcia, Región de;Viajero;Total;2021M05;9.181
Total Nacional;14 Murcia, Región de;Viajero;Total;2021M04;7.113
Total Nacional;14 Murcia, Región de;Viajero;Total;2021M03;5.683
Total Nacional;14 Murcia, Región de;Viajero;Total;2021M02;2.310
Total Nacional;14 Murcia, Región de;Viajero;Total;2021M01;2.460
Total Nacional;14 Murcia, Región de;Viajero;Total;2020M12;2.505
Total Nacional;14 Murcia, Región de;Viajero;Total;2020M11;852
Total Nacional;14 Murcia, Región de;Viajero;Total;2020M10;7.283
Total Nacional;14 Murcia, Región de;Viajero;Total;2020M09;9.943
Total Nacional;14 Murcia, Región de;Viajero;Total;2020M08;16.717
Total Nacional;14 Murcia, Región de;Viajero;Total;2020M07;16.831
Total Nacional;14 Murcia, Región de;Viajero;Total;2020M06;8.742
Total Nacional;14 Murcia, Región de;Viajero;Total;2020M05;1.334
Total Nacional;14 Murcia, Región de;Viajero;Total;2020M04;0
Total Nacional;14 Murcia, Región de;Viajero;Total;2020M03;3.099
Total Nacional;14 Murcia, Región de;Viajero;Total;2020M02;7.215
Total Nacional;14 Murcia, Región de;Viajero;Total;2020M01;6.564
Total Nacional;14 Murcia, Región de;Viajero;Total;2019M12;6.607
Total Nacional;14 Murcia, Región de;Viajero;Total;2019M11;8.720
Total Nacional;14 Murcia, Región de;Viajero;Total;2019M10;10.495
Total Nacional;14 Murcia, Región de;Viajero;Total;2019M09;10.045
Total Nacional;14 Murcia, Región de;Viajero;Total;2019M08;24.717
Total Nacional;14 Murcia, Región de;Viajero;Total;2019M07;18.560
Total Nacional;14 Murcia, Región de;Viajero;Total;2019M06;16.337
Total Nacional;14 Murcia, Región de;Viajero;Total;2019M05;10.276
Total Nacional;14 Murcia, Región de;Viajero;Total;2019M04;11.590
Total Nacional;14 Murcia, Región de;Viajero;Total;2019M03;9.332
Total Nacional;14 Murcia, Región de;Viajero;Total;2019M02;6.619
Total Nacional;14 Murcia, Región de;Viajero;Total;2019M01;6.413
Total Nacional;14 Murcia, Región de;Viajero;Total;2018M12;6.239
Total Nacional;14 Murcia, Región de;Viajero;Total;2018M11;6.996
Total Nacional;14 Murcia, Región de;Viajero;Total;2018M10;11.128
Total Nacional;14 Murcia, Región de;Viajero;Total;2018M09;11.825
Total Nacional;14 Murcia, Región de;Viajero;Total;2018M08;26.008
Total Nacional;14 Murcia, Región de;Viajero;Total;2018M07;17.737
Total Nacional;14 Murcia, Región de;Viajero;Total;2018M06;13.303
Total Nacional;14 Murcia, Región de;Viajero;Total;2018M05;9.186
Total Nacional;14 Murcia, Región de;Viajero;Total;2018M04;11.099
Total Nacional;14 Murcia, Región de;Viajero;Total;2018M03;13.492
Total Nacional;14 Murcia, Región de;Viajero;Total;2018M02;6.139
Total Nacional;14 Murcia, Región de;Viajero;Total;2018M01;6.537
Total Nacional;14 Murcia, Región de;Viajero;Total;2017M12;5.992
Total Nacional;14 Murcia, Región de;Viajero;Total;2017M11;6.899
Total Nacional;14 Murcia, Región de;Viajero;Total;2017M10;11.547
Total Nacional;14 Murcia, Región de;Viajero;Total;2017M09;12.413
Total Nacional;14 Murcia, Región de;Viajero;Total;2017M08;22.796
Total Nacional;14 Murcia, Región de;Viajero;Total;2017M07;19.016
Total Nacional;14 Murcia, Región de;Viajero;Total;2017M06;12.595
Total Nacional;14 Murcia, Región de;Viajero;Total;2017M05;8.659
Total Nacional;14 Murcia, Región de;Viajero;Total;2017M04;13.933
Total Nacional;14 Murcia, Región de;Viajero;Total;2017M03;8.155
Total Nacional;14 Murcia, Región de;Viajero;Total;2017M02;6.134
Total Nacional;14 Murcia, Región de;Viajero;Total;2017M01;6.976
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2024M10;5.533
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2024M09;10.778
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2024M08;28.660
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2024M07;18.336
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2024M06;13.216
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2024M05;8.485
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2024M04;5.026
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2024M03;9.483
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2024M02;2.456
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2024M01;2.217
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2023M12;4.093
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2023M11;2.940
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2023M10;5.673
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2023M09;9.021
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2023M08;24.903
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2023M07;20.849
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2023M06;15.983
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2023M05;3.694
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2023M04;11.626
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2023M03;3.569
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2023M02;1.531
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2023M01;1.916
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2022M12;2.990
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2022M11;2.616
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2022M10;6.345
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2022M09;8.770
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2022M08;21.675
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2022M07;19.133
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2022M06;13.553
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2022M05;6.453
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2022M04;11.880
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2022M03;1.665
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2022M02;2.468
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2022M01;2.531
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2021M12;3.584
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2021M11;2.909
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2021M10;8.169
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2021M09;10.003
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2021M08;25.512
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2021M07;22.982
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2021M06;13.911
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2021M05;7.894
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2021M04;5.662
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2021M03;4.915
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2021M02;1.534
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2021M01;844
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2020M12;1.916
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2020M11;277
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2020M10;5.170
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2020M09;8.794
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2020M08;15.460
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2020M07;15.409
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2020M06;8.536
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2020M05;.
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2020M04;0
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2020M03;1.054
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2020M02;3.516
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2020M01;2.463
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2019M12;3.832
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2019M11;4.454
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2019M10;5.311
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2019M09;5.627
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2019M08;20.841
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2019M07;15.570
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2019M06;12.971
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2019M05;6.173
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2019M04;7.403
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2019M03;5.117
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2019M02;3.169
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2019M01;2.702
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2018M12;3.579
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2018M11;3.440
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2018M10;5.454
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2018M09;7.271
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2018M08;22.535
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2018M07;15.259
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2018M06;10.132
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2018M05;4.641
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2018M04;5.595
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2018M03;8.716
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2018M02;2.688
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2018M01;2.791
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2017M12;3.575
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2017M11;3.298
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2017M10;6.056
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2017M09;7.096
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2017M08;19.380
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2017M07;16.319
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2017M06;9.550
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2017M05;4.705
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2017M04;9.615
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2017M03;3.681
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2017M02;2.763
Total Nacional;14 Murcia, Región de;Viajero;Residentes en España;2017M01;2.610
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2024M10;9.284
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2024M09;7.116
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2024M08;4.137
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2024M07;4.394
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2024M06;4.808
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2024M05;4.712
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2024M04;7.101
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2024M03;7.501
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2024M02;5.510
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2024M01;6.408
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2023M12;5.443
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2023M11;6.068
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2023M10;7.977
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2023M09;5.062
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2023M08;3.341
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2023M07;4.337
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2023M06;4.012
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2023M05;5.519
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2023M04;7.172
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2023M03;6.344
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2023M02;4.621
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2023M01;6.111
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2022M12;3.683
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2022M11;4.642
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2022M10;5.615
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2022M09;4.861
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2022M08;3.100
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2022M07;4.324
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2022M06;3.027
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2022M05;4.038
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2022M04;3.791
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2022M03;4.535
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2022M02;4.271
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2022M01;4.088
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2021M12;3.100
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2021M11;3.978
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2021M10;4.414
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2021M09;3.718
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2021M08;2.059
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2021M07;1.662
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2021M06;1.534
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2021M05;1.287
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2021M04;1.451
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2021M03;768
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2021M02;776
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2021M01;1.616
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2020M12;589
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2020M11;575
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2020M10;2.113
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2020M09;1.149
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2020M08;1.257
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2020M07;1.422
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2020M06;206
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2020M05;.
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2020M04;0
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2020M03;2.045
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2020M02;3.699
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2020M01;4.101
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2019M12;2.775
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2019M11;4.266
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2019M10;5.184
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2019M09;4.418
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2019M08;3.876
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2019M07;2.990
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2019M06;3.366
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2019M05;4.103
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2019M04;4.187
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2019M03;4.215
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2019M02;3.450
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2019M01;3.711
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2018M12;2.660
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2018M11;3.556
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2018M10;5.674
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2018M09;4.554
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2018M08;3.473
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2018M07;2.478
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2018M06;3.171
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2018M05;4.545
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2018M04;5.504
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2018M03;4.776
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2018M02;3.451
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2018M01;3.746
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2017M12;2.417
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2017M11;3.601
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2017M10;5.491
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2017M09;5.317
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2017M08;3.416
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2017M07;2.697
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2017M06;3.045
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2017M05;3.954
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2017M04;4.318
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2017M03;4.474
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2017M02;3.371
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2017M01;4.366
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2024M10;99.699
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2024M09;89.536
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2024M08;219.778
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2024M07;140.733
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2024M06;72.139
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2024M05;60.330
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2024M04;75.070
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2024M03;140.943
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2024M02;121.913
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2024M01;129.381
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M12;122.326
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M11;108.620
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M10;101.426
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M09;76.643
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M08;188.385
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M07;139.971
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M06;82.701
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M05;56.923
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M04;97.046
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M03;106.347
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M02;109.119
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M01;122.594
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M12;109.059
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M11;89.934
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M10;103.287
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M09;73.830
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M08;171.929
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M07;126.523
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M06;79.562
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M05;62.996
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M04;86.304
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M03;94.044
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M02;109.351
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M01;119.148
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M12;105.222
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M11;91.797
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M10;102.109
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M09;76.961
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M08;186.016
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M07;128.899
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M06;66.293
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M05;44.043
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M04;48.493
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M03;54.892
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M02;46.504
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M01;47.780
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M12;45.661
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M11;37.559
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M10;47.084
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M09;48.897
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M08;102.987
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M07;87.738
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M06;37.563
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M05;11.137
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M04;0
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M03;40.903
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M02;119.431
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M01;112.164
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2019M12;114.696
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2019M11;102.058
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2019M10;96.934
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2019M09;63.067
