Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;2001M03;926
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;2001M02;156
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;2001M01;177
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;2000M12;0
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;2000M11;141
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;2000M10;558
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;2000M09;1.187
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;2000M08;5.682
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;2000M07;6.156
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;2000M06;1.620
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;2000M05;1.377
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;2000M04;574
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;2000M03;230
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;2000M02;116
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;2000M01;204
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;1999M12;0
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;1999M11;137
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;1999M10;487
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;1999M09;1.569
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;1999M08;5.434
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;1999M07;3.738
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;1999M06;2.263
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;1999M05;1.346
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;1999M04;690
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;1999M03;372
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;1999M02;144
Total Nacional;17 Rioja, La;Pernoctaciones;Total;Residentes en el Extranjero;1999M01;18
Total Nacional;18 Ceuta;Viajero;Total;;2025M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2025M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2024M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2024M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2024M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2024M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2024M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2024M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2024M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2024M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2024M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2024M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2024M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2024M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2023M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2023M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2023M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2023M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2023M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2023M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2023M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2023M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2023M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2023M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2023M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2023M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2022M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2022M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2022M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2022M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2022M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2022M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2022M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2022M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2022M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2022M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2022M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2022M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2021M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2021M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2021M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2021M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2021M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2021M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2021M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2021M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2021M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2021M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2021M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2021M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2020M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2020M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2020M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2020M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2020M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2020M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2020M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2020M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2020M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2020M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2020M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2020M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2019M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2019M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2019M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2019M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2019M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2019M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2019M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2019M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2019M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2019M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2019M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2019M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2018M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2018M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2018M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2018M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2018M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2018M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2018M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2018M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2018M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2018M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2018M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2018M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2017M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2017M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2017M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2017M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2017M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2017M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2017M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2017M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2017M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2017M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2017M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2017M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2016M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2016M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2016M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2016M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2016M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2016M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2016M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2016M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2016M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2016M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2016M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2016M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2015M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2015M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2015M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2015M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2015M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2015M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2015M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2015M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2015M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2015M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2015M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2015M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2014M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2014M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2014M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2014M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2014M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2014M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2014M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2014M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2014M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2014M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2014M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2014M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2013M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2013M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2013M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2013M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2013M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2013M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2013M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2013M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2013M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2013M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2013M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2013M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2012M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2012M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2012M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2012M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2012M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2012M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2012M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2012M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2012M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2012M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2012M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2012M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2011M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2011M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2011M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2011M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2011M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2011M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2011M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2011M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2011M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2011M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2011M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2011M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2010M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2010M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2010M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2010M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2010M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2010M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2010M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2010M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2010M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2010M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2010M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2010M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2009M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2009M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2009M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2009M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2009M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2009M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2009M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2009M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2009M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2009M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2009M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2009M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2008M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2008M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2008M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2008M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2008M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2008M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2008M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2008M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2008M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2008M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2008M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2008M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2007M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2007M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2007M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2007M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2007M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2007M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2007M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2007M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2007M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2007M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2007M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2007M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2006M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2006M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2006M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2006M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2006M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2006M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2006M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2006M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2006M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2006M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2006M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2006M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2005M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2005M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2005M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2005M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2005M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2005M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2005M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2005M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2005M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2005M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2005M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2005M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2004M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2004M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2004M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2004M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2004M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2004M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2004M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2004M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2004M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2004M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2004M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2004M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2003M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2003M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2003M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2003M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2003M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2003M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2003M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2003M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2003M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2003M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2003M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2003M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2002M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2002M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2002M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2002M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2002M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2002M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2002M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2002M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2002M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2002M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2002M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2002M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2001M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2001M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2001M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2001M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2001M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2001M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2001M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2001M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2001M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2001M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2001M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2001M01;""
Total Nacional;18 Ceuta;Viajero;Total;;2000M12;""
Total Nacional;18 Ceuta;Viajero;Total;;2000M11;""
Total Nacional;18 Ceuta;Viajero;Total;;2000M10;""
Total Nacional;18 Ceuta;Viajero;Total;;2000M09;""
Total Nacional;18 Ceuta;Viajero;Total;;2000M08;""
Total Nacional;18 Ceuta;Viajero;Total;;2000M07;""
Total Nacional;18 Ceuta;Viajero;Total;;2000M06;""
Total Nacional;18 Ceuta;Viajero;Total;;2000M05;""
Total Nacional;18 Ceuta;Viajero;Total;;2000M04;""
Total Nacional;18 Ceuta;Viajero;Total;;2000M03;""
Total Nacional;18 Ceuta;Viajero;Total;;2000M02;""
Total Nacional;18 Ceuta;Viajero;Total;;2000M01;""
Total Nacional;18 Ceuta;Viajero;Total;;1999M12;""
Total Nacional;18 Ceuta;Viajero;Total;;1999M11;""
Total Nacional;18 Ceuta;Viajero;Total;;1999M10;""
Total Nacional;18 Ceuta;Viajero;Total;;1999M09;""
Total Nacional;18 Ceuta;Viajero;Total;;1999M08;""
Total Nacional;18 Ceuta;Viajero;Total;;1999M07;""
Total Nacional;18 Ceuta;Viajero;Total;;1999M06;""
Total Nacional;18 Ceuta;Viajero;Total;;1999M05;""
Total Nacional;18 Ceuta;Viajero;Total;;1999M04;""
Total Nacional;18 Ceuta;Viajero;Total;;1999M03;""
Total Nacional;18 Ceuta;Viajero;Total;;1999M02;""
Total Nacional;18 Ceuta;Viajero;Total;;1999M01;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2025M02;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2025M01;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2024M12;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2024M11;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2024M10;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2024M09;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2024M08;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2024M07;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2024M06;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2024M05;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2024M04;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2024M03;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2024M02;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2024M01;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2023M12;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2023M11;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2023M10;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2023M09;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2023M08;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2023M07;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2023M06;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2023M05;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2023M04;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2023M03;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2023M02;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2023M01;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2022M12;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2022M11;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2022M10;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2022M09;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2022M08;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2022M07;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2022M06;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2022M05;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2022M04;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2022M03;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2022M02;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2022M01;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2021M12;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2021M11;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2021M10;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2021M09;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2021M08;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2021M07;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2021M06;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2021M05;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2021M04;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2021M03;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2021M02;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2021M01;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2020M12;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2020M11;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2020M10;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2020M09;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2020M08;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2020M07;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2020M06;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2020M05;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2020M04;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2020M03;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2020M02;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2020M01;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2019M12;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2019M11;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2019M10;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2019M09;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2019M08;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2019M07;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2019M06;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2019M05;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2019M04;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2019M03;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2019M02;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2019M01;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2018M12;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2018M11;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2018M10;""
Total Nacional;18 Ceuta;Viajero;Total;Residentes en España;2018M09;""
