Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;;Viajero;Total;;2002M11;115.162
Total Nacional;;Viajero;Total;;2002M10;192.541
Total Nacional;;Viajero;Total;;2002M09;489.158
Total Nacional;;Viajero;Total;;2002M08;1.768.721
Total Nacional;;Viajero;Total;;2002M07;1.493.613
Total Nacional;;Viajero;Total;;2002M06;671.931
Total Nacional;;Viajero;Total;;2002M05;401.230
Total Nacional;;Viajero;Total;;2002M04;290.874
Total Nacional;;Viajero;Total;;2002M03;320.388
Total Nacional;;Viajero;Total;;2002M02;98.369
Total Nacional;;Viajero;Total;;2002M01;75.561
Total Nacional;;Viajero;Total;;2001M12;89.004
Total Nacional;;Viajero;Total;;2001M11;97.029
Total Nacional;;Viajero;Total;;2001M10;186.968
Total Nacional;;Viajero;Total;;2001M09;471.494
Total Nacional;;Viajero;Total;;2001M08;1.868.831
Total Nacional;;Viajero;Total;;2001M07;1.490.929
Total Nacional;;Viajero;Total;;2001M06;618.809
Total Nacional;;Viajero;Total;;2001M05;350.987
Total Nacional;;Viajero;Total;;2001M04;562.854
Total Nacional;;Viajero;Total;;2001M03;153.151
Total Nacional;;Viajero;Total;;2001M02;94.216
Total Nacional;;Viajero;Total;;2001M01;74.077
Total Nacional;;Viajero;Total;;2000M12;102.888
Total Nacional;;Viajero;Total;;2000M11;83.259
Total Nacional;;Viajero;Total;;2000M10;177.714
Total Nacional;;Viajero;Total;;2000M09;489.308
Total Nacional;;Viajero;Total;;2000M08;1.759.827
Total Nacional;;Viajero;Total;;2000M07;1.423.214
Total Nacional;;Viajero;Total;;2000M06;503.610
Total Nacional;;Viajero;Total;;2000M05;301.644
Total Nacional;;Viajero;Total;;2000M04;443.344
Total Nacional;;Viajero;Total;;2000M03;141.023
Total Nacional;;Viajero;Total;;2000M02;91.355
Total Nacional;;Viajero;Total;;2000M01;62.931
Total Nacional;;Viajero;Total;;1999M12;72.168
Total Nacional;;Viajero;Total;;1999M11;75.075
Total Nacional;;Viajero;Total;;1999M10;176.229
Total Nacional;;Viajero;Total;;1999M09;423.253
Total Nacional;;Viajero;Total;;1999M08;1.682.196
Total Nacional;;Viajero;Total;;1999M07;1.301.150
Total Nacional;;Viajero;Total;;1999M06;516.861
Total Nacional;;Viajero;Total;;1999M05;320.569
Total Nacional;;Viajero;Total;;1999M04;341.399
Total Nacional;;Viajero;Total;;1999M03;158.363
Total Nacional;;Viajero;Total;;1999M02;73.069
Total Nacional;;Viajero;Total;;1999M01;58.505
Total Nacional;;Viajero;Total;Residentes en España;2025M02;132.579
Total Nacional;;Viajero;Total;Residentes en España;2025M01;87.279
Total Nacional;;Viajero;Total;Residentes en España;2024M12;150.046
Total Nacional;;Viajero;Total;Residentes en España;2024M11;147.700
Total Nacional;;Viajero;Total;Residentes en España;2024M10;287.182
Total Nacional;;Viajero;Total;Residentes en España;2024M09;590.963
Total Nacional;;Viajero;Total;Residentes en España;2024M08;1.487.318
Total Nacional;;Viajero;Total;Residentes en España;2024M07;1.218.576
Total Nacional;;Viajero;Total;Residentes en España;2024M06;895.725
Total Nacional;;Viajero;Total;Residentes en España;2024M05;537.874
Total Nacional;;Viajero;Total;Residentes en España;2024M04;353.993
Total Nacional;;Viajero;Total;Residentes en España;2024M03;431.318
Total Nacional;;Viajero;Total;Residentes en España;2024M02;126.568
Total Nacional;;Viajero;Total;Residentes en España;2024M01;84.826
Total Nacional;;Viajero;Total;Residentes en España;2023M12;152.782
Total Nacional;;Viajero;Total;Residentes en España;2023M11;140.260
Total Nacional;;Viajero;Total;Residentes en España;2023M10;363.346
Total Nacional;;Viajero;Total;Residentes en España;2023M09;628.127
Total Nacional;;Viajero;Total;Residentes en España;2023M08;1.533.219
Total Nacional;;Viajero;Total;Residentes en España;2023M07;1.247.663
Total Nacional;;Viajero;Total;Residentes en España;2023M06;900.490
Total Nacional;;Viajero;Total;Residentes en España;2023M05;418.016
Total Nacional;;Viajero;Total;Residentes en España;2023M04;699.263
Total Nacional;;Viajero;Total;Residentes en España;2023M03;215.580
Total Nacional;;Viajero;Total;Residentes en España;2023M02;121.606
Total Nacional;;Viajero;Total;Residentes en España;2023M01;87.790
Total Nacional;;Viajero;Total;Residentes en España;2022M12;142.136
Total Nacional;;Viajero;Total;Residentes en España;2022M11;130.736
Total Nacional;;Viajero;Total;Residentes en España;2022M10;353.327
Total Nacional;;Viajero;Total;Residentes en España;2022M09;618.522
Total Nacional;;Viajero;Total;Residentes en España;2022M08;1.479.655
Total Nacional;;Viajero;Total;Residentes en España;2022M07;1.251.897
Total Nacional;;Viajero;Total;Residentes en España;2022M06;911.457
Total Nacional;;Viajero;Total;Residentes en España;2022M05;504.763
Total Nacional;;Viajero;Total;Residentes en España;2022M04;585.748
Total Nacional;;Viajero;Total;Residentes en España;2022M03;151.912
Total Nacional;;Viajero;Total;Residentes en España;2022M02;141.025
Total Nacional;;Viajero;Total;Residentes en España;2022M01;99.283
Total Nacional;;Viajero;Total;Residentes en España;2021M12;140.488
Total Nacional;;Viajero;Total;Residentes en España;2021M11;125.550
Total Nacional;;Viajero;Total;Residentes en España;2021M10;391.457
Total Nacional;;Viajero;Total;Residentes en España;2021M09;650.829
Total Nacional;;Viajero;Total;Residentes en España;2021M08;1.686.168
Total Nacional;;Viajero;Total;Residentes en España;2021M07;1.340.895
Total Nacional;;Viajero;Total;Residentes en España;2021M06;849.362
Total Nacional;;Viajero;Total;Residentes en España;2021M05;465.499
Total Nacional;;Viajero;Total;Residentes en España;2021M04;294.786
Total Nacional;;Viajero;Total;Residentes en España;2021M03;180.953
Total Nacional;;Viajero;Total;Residentes en España;2021M02;43.051
Total Nacional;;Viajero;Total;Residentes en España;2021M01;31.838
Total Nacional;;Viajero;Total;Residentes en España;2020M12;69.201
Total Nacional;;Viajero;Total;Residentes en España;2020M11;.
Total Nacional;;Viajero;Total;Residentes en España;2020M10;242.288
Total Nacional;;Viajero;Total;Residentes en España;2020M09;549.738
Total Nacional;;Viajero;Total;Residentes en España;2020M08;1.351.549
Total Nacional;;Viajero;Total;Residentes en España;2020M07;998.134
Total Nacional;;Viajero;Total;Residentes en España;2020M06;347.488
Total Nacional;;Viajero;Total;Residentes en España;2020M05;.
Total Nacional;;Viajero;Total;Residentes en España;2020M04;0
Total Nacional;;Viajero;Total;Residentes en España;2020M03;42.819
Total Nacional;;Viajero;Total;Residentes en España;2020M02;137.942
Total Nacional;;Viajero;Total;Residentes en España;2020M01;77.307
Total Nacional;;Viajero;Total;Residentes en España;2019M12;130.922
Total Nacional;;Viajero;Total;Residentes en España;2019M11;136.078
Total Nacional;;Viajero;Total;Residentes en España;2019M10;260.311
Total Nacional;;Viajero;Total;Residentes en España;2019M09;496.646
Total Nacional;;Viajero;Total;Residentes en España;2019M08;1.451.555
Total Nacional;;Viajero;Total;Residentes en España;2019M07;1.026.395
Total Nacional;;Viajero;Total;Residentes en España;2019M06;795.042
Total Nacional;;Viajero;Total;Residentes en España;2019M05;393.803
Total Nacional;;Viajero;Total;Residentes en España;2019M04;454.820
Total Nacional;;Viajero;Total;Residentes en España;2019M03;202.342
Total Nacional;;Viajero;Total;Residentes en España;2019M02;106.396
Total Nacional;;Viajero;Total;Residentes en España;2019M01;65.871
Total Nacional;;Viajero;Total;Residentes en España;2018M12;121.602
Total Nacional;;Viajero;Total;Residentes en España;2018M11;127.005
Total Nacional;;Viajero;Total;Residentes en España;2018M10;251.180
Total Nacional;;Viajero;Total;Residentes en España;2018M09;537.141
Total Nacional;;Viajero;Total;Residentes en España;2018M08;1.355.065
Total Nacional;;Viajero;Total;Residentes en España;2018M07;994.071
Total Nacional;;Viajero;Total;Residentes en España;2018M06;661.579
Total Nacional;;Viajero;Total;Residentes en España;2018M05;336.580
Total Nacional;;Viajero;Total;Residentes en España;2018M04;329.027
Total Nacional;;Viajero;Total;Residentes en España;2018M03;309.192
Total Nacional;;Viajero;Total;Residentes en España;2018M02;88.907
Total Nacional;;Viajero;Total;Residentes en España;2018M01;68.000
Total Nacional;;Viajero;Total;Residentes en España;2017M12;118.158
Total Nacional;;Viajero;Total;Residentes en España;2017M11;103.360
Total Nacional;;Viajero;Total;Residentes en España;2017M10;245.632
Total Nacional;;Viajero;Total;Residentes en España;2017M09;496.892
Total Nacional;;Viajero;Total;Residentes en España;2017M08;1.312.489
Total Nacional;;Viajero;Total;Residentes en España;2017M07;1.033.155
Total Nacional;;Viajero;Total;Residentes en España;2017M06;692.842
Total Nacional;;Viajero;Total;Residentes en España;2017M05;341.874
Total Nacional;;Viajero;Total;Residentes en España;2017M04;541.831
Total Nacional;;Viajero;Total;Residentes en España;2017M03;163.295
Total Nacional;;Viajero;Total;Residentes en España;2017M02;96.089
Total Nacional;;Viajero;Total;Residentes en España;2017M01;69.534
Total Nacional;;Viajero;Total;Residentes en España;2016M12;106.554
Total Nacional;;Viajero;Total;Residentes en España;2016M11;94.155
Total Nacional;;Viajero;Total;Residentes en España;2016M10;221.538
Total Nacional;;Viajero;Total;Residentes en España;2016M09;464.656
Total Nacional;;Viajero;Total;Residentes en España;2016M08;1.297.486
Total Nacional;;Viajero;Total;Residentes en España;2016M07;1.019.323
Total Nacional;;Viajero;Total;Residentes en España;2016M06;586.804
Total Nacional;;Viajero;Total;Residentes en España;2016M05;336.286
Total Nacional;;Viajero;Total;Residentes en España;2016M04;252.121
Total Nacional;;Viajero;Total;Residentes en España;2016M03;338.177
Total Nacional;;Viajero;Total;Residentes en España;2016M02;91.492
Total Nacional;;Viajero;Total;Residentes en España;2016M01;75.940
Total Nacional;;Viajero;Total;Residentes en España;2015M12;102.860
Total Nacional;;Viajero;Total;Residentes en España;2015M11;96.570
Total Nacional;;Viajero;Total;Residentes en España;2015M10;216.596
Total Nacional;;Viajero;Total;Residentes en España;2015M09;395.576
Total Nacional;;Viajero;Total;Residentes en España;2015M08;1.186.797
Total Nacional;;Viajero;Total;Residentes en España;2015M07;888.742
Total Nacional;;Viajero;Total;Residentes en España;2015M06;555.889
Total Nacional;;Viajero;Total;Residentes en España;2015M05;358.587
Total Nacional;;Viajero;Total;Residentes en España;2015M04;381.374
Total Nacional;;Viajero;Total;Residentes en España;2015M03;156.365
Total Nacional;;Viajero;Total;Residentes en España;2015M02;74.628
Total Nacional;;Viajero;Total;Residentes en España;2015M01;62.489
Total Nacional;;Viajero;Total;Residentes en España;2014M12;96.543
Total Nacional;;Viajero;Total;Residentes en España;2014M11;91.877
Total Nacional;;Viajero;Total;Residentes en España;2014M10;180.945
Total Nacional;;Viajero;Total;Residentes en España;2014M09;389.000
Total Nacional;;Viajero;Total;Residentes en España;2014M08;1.188.904
Total Nacional;;Viajero;Total;Residentes en España;2014M07;815.557
Total Nacional;;Viajero;Total;Residentes en España;2014M06;536.374
Total Nacional;;Viajero;Total;Residentes en España;2014M05;321.629
Total Nacional;;Viajero;Total;Residentes en España;2014M04;381.411
Total Nacional;;Viajero;Total;Residentes en España;2014M03;126.510
Total Nacional;;Viajero;Total;Residentes en España;2014M02;73.955
Total Nacional;;Viajero;Total;Residentes en España;2014M01;51.698
Total Nacional;;Viajero;Total;Residentes en España;2013M12;79.093
Total Nacional;;Viajero;Total;Residentes en España;2013M11;95.188
Total Nacional;;Viajero;Total;Residentes en España;2013M10;167.221
Total Nacional;;Viajero;Total;Residentes en España;2013M09;355.282
Total Nacional;;Viajero;Total;Residentes en España;2013M08;1.157.671
Total Nacional;;Viajero;Total;Residentes en España;2013M07;828.419
Total Nacional;;Viajero;Total;Residentes en España;2013M06;521.347
Total Nacional;;Viajero;Total;Residentes en España;2013M05;289.446
Total Nacional;;Viajero;Total;Residentes en España;2013M04;216.612
Total Nacional;;Viajero;Total;Residentes en España;2013M03;247.785
Total Nacional;;Viajero;Total;Residentes en España;2013M02;66.584
Total Nacional;;Viajero;Total;Residentes en España;2013M01;49.659
Total Nacional;;Viajero;Total;Residentes en España;2012M12;76.433
Total Nacional;;Viajero;Total;Residentes en España;2012M11;79.551
Total Nacional;;Viajero;Total;Residentes en España;2012M10;152.487
Total Nacional;;Viajero;Total;Residentes en España;2012M09;359.387
Total Nacional;;Viajero;Total;Residentes en España;2012M08;1.139.581
Total Nacional;;Viajero;Total;Residentes en España;2012M07;827.407
Total Nacional;;Viajero;Total;Residentes en España;2012M06;519.954
Total Nacional;;Viajero;Total;Residentes en España;2012M05;278.162
Total Nacional;;Viajero;Total;Residentes en España;2012M04;332.096
Total Nacional;;Viajero;Total;Residentes en España;2012M03;136.667
Total Nacional;;Viajero;Total;Residentes en España;2012M02;69.250
Total Nacional;;Viajero;Total;Residentes en España;2012M01;57.018
Total Nacional;;Viajero;Total;Residentes en España;2011M12;83.158
Total Nacional;;Viajero;Total;Residentes en España;2011M11;84.670
Total Nacional;;Viajero;Total;Residentes en España;2011M10;173.568
Total Nacional;;Viajero;Total;Residentes en España;2011M09;377.342
Total Nacional;;Viajero;Total;Residentes en España;2011M08;1.149.244
Total Nacional;;Viajero;Total;Residentes en España;2011M07;908.183
Total Nacional;;Viajero;Total;Residentes en España;2011M06;507.570
Total Nacional;;Viajero;Total;Residentes en España;2011M05;284.073
Total Nacional;;Viajero;Total;Residentes en España;2011M04;376.361
Total Nacional;;Viajero;Total;Residentes en España;2011M03;125.681
