Totales Territoriales;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;01 Andalucía;2019M01;8,19
Total Nacional;01 Andalucía;2018M12;7,35
Total Nacional;01 Andalucía;2018M11;6,49
Total Nacional;01 Andalucía;2018M10;4,14
Total Nacional;01 Andalucía;2018M09;3,75
Total Nacional;01 Andalucía;2018M08;4,12
Total Nacional;01 Andalucía;2018M07;3,7
Total Nacional;01 Andalucía;2018M06;3,1
Total Nacional;01 Andalucía;2018M05;3,35
Total Nacional;01 Andalucía;2018M04;3,79
Total Nacional;01 Andalucía;2018M03;5,04
Total Nacional;01 Andalucía;2018M02;7,7
Total Nacional;01 Andalucía;2018M01;8,75
Total Nacional;01 Andalucía;2017M12;7,56
Total Nacional;01 Andalucía;2017M11;6,67
Total Nacional;01 Andalucía;2017M10;4,5
Total Nacional;01 Andalucía;2017M09;3,51
Total Nacional;01 Andalucía;2017M08;4,14
Total Nacional;01 Andalucía;2017M07;3,86
Total Nacional;01 Andalucía;2017M06;3,13
Total Nacional;01 Andalucía;2017M05;3,22
Total Nacional;01 Andalucía;2017M04;3,55
Total Nacional;01 Andalucía;2017M03;5,92
Total Nacional;01 Andalucía;2017M02;7,18
Total Nacional;01 Andalucía;2017M01;8,32
Total Nacional;01 Andalucía;2016M12;7,62
Total Nacional;01 Andalucía;2016M11;6,77
Total Nacional;01 Andalucía;2016M10;4,49
Total Nacional;01 Andalucía;2016M09;3,49
Total Nacional;01 Andalucía;2016M08;3,9
Total Nacional;01 Andalucía;2016M07;3,51
Total Nacional;01 Andalucía;2016M06;3,07
Total Nacional;01 Andalucía;2016M05;3,56
Total Nacional;01 Andalucía;2016M04;3,57
Total Nacional;01 Andalucía;2016M03;4,64
Total Nacional;01 Andalucía;2016M02;6,74
Total Nacional;01 Andalucía;2016M01;8,2
Total Nacional;01 Andalucía;2015M12;7,34
Total Nacional;01 Andalucía;2015M11;6,76
Total Nacional;01 Andalucía;2015M10;4,56
Total Nacional;01 Andalucía;2015M09;3,67
Total Nacional;01 Andalucía;2015M08;3,92
Total Nacional;01 Andalucía;2015M07;3,61
Total Nacional;01 Andalucía;2015M06;3,22
Total Nacional;01 Andalucía;2015M05;3,37
Total Nacional;01 Andalucía;2015M04;3,75
Total Nacional;01 Andalucía;2015M03;5,69
Total Nacional;01 Andalucía;2015M02;7,23
Total Nacional;01 Andalucía;2015M01;8,1
Total Nacional;01 Andalucía;2014M12;7,53
Total Nacional;01 Andalucía;2014M11;6,61
Total Nacional;01 Andalucía;2014M10;4,43
Total Nacional;01 Andalucía;2014M09;3,73
Total Nacional;01 Andalucía;2014M08;3,84
Total Nacional;01 Andalucía;2014M07;3,66
Total Nacional;01 Andalucía;2014M06;3,27
Total Nacional;01 Andalucía;2014M05;3,49
Total Nacional;01 Andalucía;2014M04;3,71
Total Nacional;01 Andalucía;2014M03;6,07
Total Nacional;01 Andalucía;2014M02;7,17
Total Nacional;01 Andalucía;2014M01;9,37
Total Nacional;01 Andalucía;2013M12;8,19
Total Nacional;01 Andalucía;2013M11;6,23
Total Nacional;01 Andalucía;2013M10;4,54
Total Nacional;01 Andalucía;2013M09;3,76
Total Nacional;01 Andalucía;2013M08;3,91
Total Nacional;01 Andalucía;2013M07;3,61
Total Nacional;01 Andalucía;2013M06;3,13
Total Nacional;01 Andalucía;2013M05;3,33
Total Nacional;01 Andalucía;2013M04;3,57
Total Nacional;01 Andalucía;2013M03;5,72
Total Nacional;01 Andalucía;2013M02;7,83
Total Nacional;01 Andalucía;2013M01;9,92
Total Nacional;01 Andalucía;2012M12;9,48
Total Nacional;01 Andalucía;2012M11;8,39
Total Nacional;01 Andalucía;2012M10;5,33
Total Nacional;01 Andalucía;2012M09;4,06
Total Nacional;01 Andalucía;2012M08;4,07
Total Nacional;01 Andalucía;2012M07;3,69
Total Nacional;01 Andalucía;2012M06;3,38
Total Nacional;01 Andalucía;2012M05;3,91
Total Nacional;01 Andalucía;2012M04;4,13
Total Nacional;01 Andalucía;2012M03;6,26
Total Nacional;01 Andalucía;2012M02;8,37
Total Nacional;01 Andalucía;2012M01;9,27
Total Nacional;01 Andalucía;2011M12;8,9
Total Nacional;01 Andalucía;2011M11;8,18
Total Nacional;01 Andalucía;2011M10;4,46
Total Nacional;01 Andalucía;2011M09;4,04
Total Nacional;01 Andalucía;2011M08;4,06
Total Nacional;01 Andalucía;2011M07;3,49
Total Nacional;01 Andalucía;2011M06;3,59
Total Nacional;01 Andalucía;2011M05;4,22
Total Nacional;01 Andalucía;2011M04;4,07
Total Nacional;01 Andalucía;2011M03;6,47
Total Nacional;01 Andalucía;2011M02;6,99
Total Nacional;01 Andalucía;2011M01;8,94
Total Nacional;01 Andalucía;2010M12;8,91
Total Nacional;01 Andalucía;2010M11;8,29
Total Nacional;01 Andalucía;2010M10;4,55
Total Nacional;01 Andalucía;2010M09;3,87
Total Nacional;01 Andalucía;2010M08;4,04
Total Nacional;01 Andalucía;2010M07;3,61
Total Nacional;01 Andalucía;2010M06;3,5
Total Nacional;01 Andalucía;2010M05;3,87
Total Nacional;01 Andalucía;2010M04;4,14
Total Nacional;01 Andalucía;2010M03;5,54
Total Nacional;01 Andalucía;2010M02;8,54
Total Nacional;01 Andalucía;2010M01;9,23
Total Nacional;01 Andalucía;2009M12;8,54
Total Nacional;01 Andalucía;2009M11;7,18
Total Nacional;01 Andalucía;2009M10;3,97
Total Nacional;01 Andalucía;2009M09;4,01
Total Nacional;01 Andalucía;2009M08;3,99
Total Nacional;01 Andalucía;2009M07;3,62
Total Nacional;01 Andalucía;2009M06;3,32
Total Nacional;01 Andalucía;2009M05;3,46
Total Nacional;01 Andalucía;2009M04;3,55
Total Nacional;01 Andalucía;2009M03;5,87
Total Nacional;01 Andalucía;2009M02;7,91
Total Nacional;01 Andalucía;2009M01;9,32
Total Nacional;01 Andalucía;2008M12;6,75
Total Nacional;01 Andalucía;2008M11;6,37
Total Nacional;01 Andalucía;2008M10;4,31
Total Nacional;01 Andalucía;2008M09;3,66
Total Nacional;01 Andalucía;2008M08;3,8
Total Nacional;01 Andalucía;2008M07;3,33
Total Nacional;01 Andalucía;2008M06;3,19
Total Nacional;01 Andalucía;2008M05;3,6
Total Nacional;01 Andalucía;2008M04;3,96
Total Nacional;01 Andalucía;2008M03;4,39
Total Nacional;01 Andalucía;2008M02;6,61
Total Nacional;01 Andalucía;2008M01;7,42
Total Nacional;01 Andalucía;2007M12;6,56
Total Nacional;01 Andalucía;2007M11;5,46
Total Nacional;01 Andalucía;2007M10;3,71
Total Nacional;01 Andalucía;2007M09;3,44
Total Nacional;01 Andalucía;2007M08;3,94
Total Nacional;01 Andalucía;2007M07;3,47
Total Nacional;01 Andalucía;2007M06;3,06
Total Nacional;01 Andalucía;2007M05;3,39
Total Nacional;01 Andalucía;2007M04;3,53
Total Nacional;01 Andalucía;2007M03;4,68
Total Nacional;01 Andalucía;2007M02;6,65
Total Nacional;01 Andalucía;2007M01;7,69
Total Nacional;01 Andalucía;2006M12;5,58
Total Nacional;01 Andalucía;2006M11;6,98
Total Nacional;01 Andalucía;2006M10;3,73
Total Nacional;01 Andalucía;2006M09;3,7
Total Nacional;01 Andalucía;2006M08;4,11
Total Nacional;01 Andalucía;2006M07;3,69
Total Nacional;01 Andalucía;2006M06;3,1
Total Nacional;01 Andalucía;2006M05;3,06
Total Nacional;01 Andalucía;2006M04;3,08
Total Nacional;01 Andalucía;2006M03;5,19
Total Nacional;01 Andalucía;2006M02;6,25
Total Nacional;01 Andalucía;2006M01;8,2
Total Nacional;01 Andalucía;2005M12;6,52
Total Nacional;01 Andalucía;2005M11;6,36
Total Nacional;01 Andalucía;2005M10;4,26
Total Nacional;01 Andalucía;2005M09;3,61
Total Nacional;01 Andalucía;2005M08;3,77
Total Nacional;01 Andalucía;2005M07;3,38
Total Nacional;01 Andalucía;2005M06;3,09
Total Nacional;01 Andalucía;2005M05;3,33
Total Nacional;01 Andalucía;2005M04;3,28
Total Nacional;01 Andalucía;2005M03;4,67
Total Nacional;01 Andalucía;2005M02;6,98
Total Nacional;01 Andalucía;2005M01;8,1
Total Nacional;01 Andalucía;2004M12;6,38
Total Nacional;01 Andalucía;2004M11;5,72
Total Nacional;01 Andalucía;2004M10;3,62
Total Nacional;01 Andalucía;2004M09;3,47
Total Nacional;01 Andalucía;2004M08;3,84
Total Nacional;01 Andalucía;2004M07;3,33
Total Nacional;01 Andalucía;2004M06;2,73
Total Nacional;01 Andalucía;2004M05;3,05
Total Nacional;01 Andalucía;2004M04;3,25
Total Nacional;01 Andalucía;2004M03;6,03
Total Nacional;01 Andalucía;2004M02;8,2
Total Nacional;01 Andalucía;2004M01;8,81
Total Nacional;01 Andalucía;2003M12;8,02
Total Nacional;01 Andalucía;2003M11;6,55
Total Nacional;01 Andalucía;2003M10;4,05
Total Nacional;01 Andalucía;2003M09;3,17
Total Nacional;01 Andalucía;2003M08;3,58
Total Nacional;01 Andalucía;2003M07;3,1
Total Nacional;01 Andalucía;2003M06;2,58
Total Nacional;01 Andalucía;2003M05;2,68
Total Nacional;01 Andalucía;2003M04;3,2
Total Nacional;01 Andalucía;2003M03;6,37
Total Nacional;01 Andalucía;2003M02;8,36
Total Nacional;01 Andalucía;2003M01;8,35
Total Nacional;01 Andalucía;2002M12;11,86
Total Nacional;01 Andalucía;2002M11;8,63
Total Nacional;01 Andalucía;2002M10;4,44
Total Nacional;01 Andalucía;2002M09;3,47
Total Nacional;01 Andalucía;2002M08;4,04
Total Nacional;01 Andalucía;2002M07;3,16
Total Nacional;01 Andalucía;2002M06;2,77
Total Nacional;01 Andalucía;2002M05;3,31
Total Nacional;01 Andalucía;2002M04;3,89
Total Nacional;01 Andalucía;2002M03;4,37
Total Nacional;01 Andalucía;2002M02;9,41
Total Nacional;01 Andalucía;2002M01;10,96
Total Nacional;01 Andalucía;2001M12;11,01
Total Nacional;01 Andalucía;2001M11;8,11
Total Nacional;01 Andalucía;2001M10;4,47
Total Nacional;01 Andalucía;2001M09;3,48
Total Nacional;01 Andalucía;2001M08;3,71
Total Nacional;01 Andalucía;2001M07;3,14
Total Nacional;01 Andalucía;2001M06;2,49
Total Nacional;01 Andalucía;2001M05;3,27
Total Nacional;01 Andalucía;2001M04;3,17
Total Nacional;01 Andalucía;2001M03;6,63
Total Nacional;01 Andalucía;2001M02;8,35
Total Nacional;01 Andalucía;2001M01;10,29
Total Nacional;01 Andalucía;2000M12;6
Total Nacional;01 Andalucía;2000M11;7
Total Nacional;01 Andalucía;2000M10;4
Total Nacional;01 Andalucía;2000M09;3
Total Nacional;01 Andalucía;2000M08;3
Total Nacional;01 Andalucía;2000M07;3
Total Nacional;01 Andalucía;2000M06;2
Total Nacional;01 Andalucía;2000M05;2
Total Nacional;01 Andalucía;2000M04;2
Total Nacional;01 Andalucía;2000M03;5
Total Nacional;01 Andalucía;2000M02;7
Total Nacional;01 Andalucía;2000M01;10
Total Nacional;01 Andalucía;1999M12;7,9
Total Nacional;01 Andalucía;1999M11;7,31
Total Nacional;01 Andalucía;1999M10;3,99
Total Nacional;01 Andalucía;1999M09;3,13
Total Nacional;01 Andalucía;1999M08;3,55
Total Nacional;01 Andalucía;1999M07;2,92
Total Nacional;01 Andalucía;1999M06;2,45
Total Nacional;01 Andalucía;1999M05;2,58
Total Nacional;01 Andalucía;1999M04;3,19
Total Nacional;01 Andalucía;1999M03;4,69
Total Nacional;01 Andalucía;1999M02;8,17
Total Nacional;01 Andalucía;1999M01;10,02
Total Nacional;02 Aragón;2025M02;3,6
Total Nacional;02 Aragón;2025M01;3,55
Total Nacional;02 Aragón;2024M12;2,89
Total Nacional;02 Aragón;2024M11;3,05
Total Nacional;02 Aragón;2024M10;2,57
Total Nacional;02 Aragón;2024M09;2,35
Total Nacional;02 Aragón;2024M08;3,52
Total Nacional;02 Aragón;2024M07;3,13
Total Nacional;02 Aragón;2024M06;2,32
Total Nacional;02 Aragón;2024M05;2,35
Total Nacional;02 Aragón;2024M04;2,55
Total Nacional;02 Aragón;2024M03;2,7
Total Nacional;02 Aragón;2024M02;2,59
Total Nacional;02 Aragón;2024M01;2,92
Total Nacional;02 Aragón;2023M12;3,04
Total Nacional;02 Aragón;2023M11;2,84
Total Nacional;02 Aragón;2023M10;2,56
Total Nacional;02 Aragón;2023M09;2,52
Total Nacional;02 Aragón;2023M08;3,49
Total Nacional;02 Aragón;2023M07;3,06
Total Nacional;02 Aragón;2023M06;2,36
Total Nacional;02 Aragón;2023M05;2,63
Total Nacional;02 Aragón;2023M04;2,59
Total Nacional;02 Aragón;2023M03;2,33
Total Nacional;02 Aragón;2023M02;2,35
Total Nacional;02 Aragón;2023M01;2,49
Total Nacional;02 Aragón;2022M12;3,41
Total Nacional;02 Aragón;2022M11;3,02
Total Nacional;02 Aragón;2022M10;2,76
Total Nacional;02 Aragón;2022M09;2,56
Total Nacional;02 Aragón;2022M08;3,72
Total Nacional;02 Aragón;2022M07;3,13
Total Nacional;02 Aragón;2022M06;2,45
Total Nacional;02 Aragón;2022M05;2,49
Total Nacional;02 Aragón;2022M04;2,85
Total Nacional;02 Aragón;2022M03;2,5
