Totales Territoriales;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;14 Murcia, Región de;2006M09;6,9
Total Nacional;14 Murcia, Región de;2006M08;7,52
Total Nacional;14 Murcia, Región de;2006M07;5,28
Total Nacional;14 Murcia, Región de;2006M06;5,45
Total Nacional;14 Murcia, Región de;2006M05;7,43
Total Nacional;14 Murcia, Región de;2006M04;6,54
Total Nacional;14 Murcia, Región de;2006M03;18,92
Total Nacional;14 Murcia, Región de;2006M02;25,56
Total Nacional;14 Murcia, Región de;2006M01;23,72
Total Nacional;14 Murcia, Región de;2005M12;25,93
Total Nacional;14 Murcia, Región de;2005M11;17,81
Total Nacional;14 Murcia, Región de;2005M10;11,67
Total Nacional;14 Murcia, Región de;2005M09;6,02
Total Nacional;14 Murcia, Región de;2005M08;5,86
Total Nacional;14 Murcia, Región de;2005M07;5,24
Total Nacional;14 Murcia, Región de;2005M06;4,19
Total Nacional;14 Murcia, Región de;2005M05;6,87
Total Nacional;14 Murcia, Región de;2005M04;7,93
Total Nacional;14 Murcia, Región de;2005M03;12,11
Total Nacional;14 Murcia, Región de;2005M02;25,04
Total Nacional;14 Murcia, Región de;2005M01;24,1
Total Nacional;14 Murcia, Región de;2004M12;25,22
Total Nacional;14 Murcia, Región de;2004M11;17,09
Total Nacional;14 Murcia, Región de;2004M10;9,69
Total Nacional;14 Murcia, Región de;2004M09;5,85
Total Nacional;14 Murcia, Región de;2004M08;7,2
Total Nacional;14 Murcia, Región de;2004M07;5,96
Total Nacional;14 Murcia, Región de;2004M06;5,05
Total Nacional;14 Murcia, Región de;2004M05;7,06
Total Nacional;14 Murcia, Región de;2004M04;6,39
Total Nacional;14 Murcia, Región de;2004M03;16,46
Total Nacional;14 Murcia, Región de;2004M02;21,85
Total Nacional;14 Murcia, Región de;2004M01;21,06
Total Nacional;14 Murcia, Región de;2003M12;19,59
Total Nacional;14 Murcia, Región de;2003M11;18,12
Total Nacional;14 Murcia, Región de;2003M10;11,46
Total Nacional;14 Murcia, Región de;2003M09;5,97
Total Nacional;14 Murcia, Región de;2003M08;6,81
Total Nacional;14 Murcia, Región de;2003M07;5,08
Total Nacional;14 Murcia, Región de;2003M06;4,09
Total Nacional;14 Murcia, Región de;2003M05;5,96
Total Nacional;14 Murcia, Región de;2003M04;7,04
Total Nacional;14 Murcia, Región de;2003M03;15,54
Total Nacional;14 Murcia, Región de;2003M02;20,03
Total Nacional;14 Murcia, Región de;2003M01;22,95
Total Nacional;14 Murcia, Región de;2002M12;18,99
Total Nacional;14 Murcia, Región de;2002M11;14,37
Total Nacional;14 Murcia, Región de;2002M10;9,58
Total Nacional;14 Murcia, Región de;2002M09;5,04
Total Nacional;14 Murcia, Región de;2002M08;8,03
Total Nacional;14 Murcia, Región de;2002M07;5,48
Total Nacional;14 Murcia, Región de;2002M06;4,33
Total Nacional;14 Murcia, Región de;2002M05;5,97
Total Nacional;14 Murcia, Región de;2002M04;9,3
Total Nacional;14 Murcia, Región de;2002M03;9
Total Nacional;14 Murcia, Región de;2002M02;16,05
Total Nacional;14 Murcia, Región de;2002M01;20,06
Total Nacional;14 Murcia, Región de;2001M12;21,81
Total Nacional;14 Murcia, Región de;2001M11;14,82
Total Nacional;14 Murcia, Región de;2001M10;8,97
Total Nacional;14 Murcia, Región de;2001M09;5,8
Total Nacional;14 Murcia, Región de;2001M08;7,5
Total Nacional;14 Murcia, Región de;2001M07;4,37
Total Nacional;14 Murcia, Región de;2001M06;3,31
Total Nacional;14 Murcia, Región de;2001M05;5,25
Total Nacional;14 Murcia, Región de;2001M04;5,18
Total Nacional;14 Murcia, Región de;2001M03;9,21
Total Nacional;14 Murcia, Región de;2001M02;19,5
Total Nacional;14 Murcia, Región de;2001M01;18,74
Total Nacional;14 Murcia, Región de;2000M12;10
Total Nacional;14 Murcia, Región de;2000M11;11
Total Nacional;14 Murcia, Región de;2000M10;6
Total Nacional;14 Murcia, Región de;2000M09;5
Total Nacional;14 Murcia, Región de;2000M08;6
Total Nacional;14 Murcia, Región de;2000M07;4
Total Nacional;14 Murcia, Región de;2000M06;3
Total Nacional;14 Murcia, Región de;2000M05;5
Total Nacional;14 Murcia, Región de;2000M04;5
Total Nacional;14 Murcia, Región de;2000M03;12
Total Nacional;14 Murcia, Región de;2000M02;15
Total Nacional;14 Murcia, Región de;2000M01;15
Total Nacional;14 Murcia, Región de;1999M12;15,65
Total Nacional;14 Murcia, Región de;1999M11;11,96
Total Nacional;14 Murcia, Región de;1999M10;5,86
Total Nacional;14 Murcia, Región de;1999M09;4,01
Total Nacional;14 Murcia, Región de;1999M08;6,55
Total Nacional;14 Murcia, Región de;1999M07;4,33
Total Nacional;14 Murcia, Región de;1999M06;3,75
Total Nacional;14 Murcia, Región de;1999M05;4,12
Total Nacional;14 Murcia, Región de;1999M04;5,44
Total Nacional;14 Murcia, Región de;1999M03;8,95
Total Nacional;14 Murcia, Región de;1999M02;15,92
Total Nacional;14 Murcia, Región de;1999M01;16,02
Total Nacional;15 Navarra, Comunidad Foral de;2025M02;2,66
Total Nacional;15 Navarra, Comunidad Foral de;2025M01;3,94
Total Nacional;15 Navarra, Comunidad Foral de;2024M12;.
Total Nacional;15 Navarra, Comunidad Foral de;2024M11;3,8
Total Nacional;15 Navarra, Comunidad Foral de;2024M10;4,24
Total Nacional;15 Navarra, Comunidad Foral de;2024M09;4,01
Total Nacional;15 Navarra, Comunidad Foral de;2024M08;4,29
Total Nacional;15 Navarra, Comunidad Foral de;2024M07;3,82
Total Nacional;15 Navarra, Comunidad Foral de;2024M06;3,51
Total Nacional;15 Navarra, Comunidad Foral de;2024M05;3,44
Total Nacional;15 Navarra, Comunidad Foral de;2024M04;3,67
Total Nacional;15 Navarra, Comunidad Foral de;2024M03;4,28
Total Nacional;15 Navarra, Comunidad Foral de;2024M02;2,79
Total Nacional;15 Navarra, Comunidad Foral de;2024M01;.
Total Nacional;15 Navarra, Comunidad Foral de;2023M12;3,05
Total Nacional;15 Navarra, Comunidad Foral de;2023M11;3,19
Total Nacional;15 Navarra, Comunidad Foral de;2023M10;3,77
Total Nacional;15 Navarra, Comunidad Foral de;2023M09;3,59
Total Nacional;15 Navarra, Comunidad Foral de;2023M08;4,14
Total Nacional;15 Navarra, Comunidad Foral de;2023M07;3,8
Total Nacional;15 Navarra, Comunidad Foral de;2023M06;3,19
Total Nacional;15 Navarra, Comunidad Foral de;2023M05;3,53
Total Nacional;15 Navarra, Comunidad Foral de;2023M04;3,81
Total Nacional;15 Navarra, Comunidad Foral de;2023M03;2,89
Total Nacional;15 Navarra, Comunidad Foral de;2023M02;2,11
Total Nacional;15 Navarra, Comunidad Foral de;2023M01;2,42
Total Nacional;15 Navarra, Comunidad Foral de;2022M12;2,31
Total Nacional;15 Navarra, Comunidad Foral de;2022M11;2,99
Total Nacional;15 Navarra, Comunidad Foral de;2022M10;3,6
Total Nacional;15 Navarra, Comunidad Foral de;2022M09;3,49
Total Nacional;15 Navarra, Comunidad Foral de;2022M08;4,44
Total Nacional;15 Navarra, Comunidad Foral de;2022M07;3,74
Total Nacional;15 Navarra, Comunidad Foral de;2022M06;3,41
Total Nacional;15 Navarra, Comunidad Foral de;2022M05;3,74
Total Nacional;15 Navarra, Comunidad Foral de;2022M04;.
Total Nacional;15 Navarra, Comunidad Foral de;2022M03;3,7
Total Nacional;15 Navarra, Comunidad Foral de;2022M02;1,63
Total Nacional;15 Navarra, Comunidad Foral de;2022M01;.
Total Nacional;15 Navarra, Comunidad Foral de;2021M12;2,2
Total Nacional;15 Navarra, Comunidad Foral de;2021M11;3,59
Total Nacional;15 Navarra, Comunidad Foral de;2021M10;3,73
Total Nacional;15 Navarra, Comunidad Foral de;2021M09;3,56
Total Nacional;15 Navarra, Comunidad Foral de;2021M08;4,4
Total Nacional;15 Navarra, Comunidad Foral de;2021M07;3,94
Total Nacional;15 Navarra, Comunidad Foral de;2021M06;3,11
Total Nacional;15 Navarra, Comunidad Foral de;2021M05;3,28
Total Nacional;15 Navarra, Comunidad Foral de;2021M04;3,84
Total Nacional;15 Navarra, Comunidad Foral de;2021M03;5,03
Total Nacional;15 Navarra, Comunidad Foral de;2021M02;4,09
Total Nacional;15 Navarra, Comunidad Foral de;2021M01;4,29
Total Nacional;15 Navarra, Comunidad Foral de;2020M12;2,84
Total Nacional;15 Navarra, Comunidad Foral de;2020M11;2,53
Total Nacional;15 Navarra, Comunidad Foral de;2020M10;4,41
Total Nacional;15 Navarra, Comunidad Foral de;2020M09;3,7
Total Nacional;15 Navarra, Comunidad Foral de;2020M08;4,3
Total Nacional;15 Navarra, Comunidad Foral de;2020M07;3,44
Total Nacional;15 Navarra, Comunidad Foral de;2020M06;3,32
Total Nacional;15 Navarra, Comunidad Foral de;2020M05;2,95
Total Nacional;15 Navarra, Comunidad Foral de;2020M04;0
Total Nacional;15 Navarra, Comunidad Foral de;2020M03;3,02
Total Nacional;15 Navarra, Comunidad Foral de;2020M02;.
Total Nacional;15 Navarra, Comunidad Foral de;2020M01;2,5
Total Nacional;15 Navarra, Comunidad Foral de;2019M12;2,56
Total Nacional;15 Navarra, Comunidad Foral de;2019M11;3,01
Total Nacional;15 Navarra, Comunidad Foral de;2019M10;2,77
Total Nacional;15 Navarra, Comunidad Foral de;2019M09;3,04
Total Nacional;15 Navarra, Comunidad Foral de;2019M08;3,66
Total Nacional;15 Navarra, Comunidad Foral de;2019M07;3,21
Total Nacional;15 Navarra, Comunidad Foral de;2019M06;2,55
Total Nacional;15 Navarra, Comunidad Foral de;2019M05;2,34
Total Nacional;15 Navarra, Comunidad Foral de;2019M04;3,4
Total Nacional;15 Navarra, Comunidad Foral de;2019M03;3,59
Total Nacional;15 Navarra, Comunidad Foral de;2019M02;4,47
Total Nacional;15 Navarra, Comunidad Foral de;2019M01;5,61
Total Nacional;15 Navarra, Comunidad Foral de;2018M12;4,64
Total Nacional;15 Navarra, Comunidad Foral de;2018M11;3,83
Total Nacional;15 Navarra, Comunidad Foral de;2018M10;2,72
Total Nacional;15 Navarra, Comunidad Foral de;2018M09;2,69
Total Nacional;15 Navarra, Comunidad Foral de;2018M08;4,11
Total Nacional;15 Navarra, Comunidad Foral de;2018M07;3,16
Total Nacional;15 Navarra, Comunidad Foral de;2018M06;2,21
Total Nacional;15 Navarra, Comunidad Foral de;2018M05;2,38
Total Nacional;15 Navarra, Comunidad Foral de;2018M04;2,99
Total Nacional;15 Navarra, Comunidad Foral de;2018M03;4,59
Total Nacional;15 Navarra, Comunidad Foral de;2018M02;2,79
Total Nacional;15 Navarra, Comunidad Foral de;2018M01;3,49
Total Nacional;15 Navarra, Comunidad Foral de;2017M12;3,1
Total Nacional;15 Navarra, Comunidad Foral de;2017M11;2,62
Total Nacional;15 Navarra, Comunidad Foral de;2017M10;2,24
Total Nacional;15 Navarra, Comunidad Foral de;2017M09;2,28
Total Nacional;15 Navarra, Comunidad Foral de;2017M08;3,96
Total Nacional;15 Navarra, Comunidad Foral de;2017M07;3,27
Total Nacional;15 Navarra, Comunidad Foral de;2017M06;2,1
Total Nacional;15 Navarra, Comunidad Foral de;2017M05;2,15
Total Nacional;15 Navarra, Comunidad Foral de;2017M04;2,73
Total Nacional;15 Navarra, Comunidad Foral de;2017M03;2,1
Total Nacional;15 Navarra, Comunidad Foral de;2017M02;2,53
Total Nacional;15 Navarra, Comunidad Foral de;2017M01;2,21
Total Nacional;15 Navarra, Comunidad Foral de;2016M12;2,7
Total Nacional;15 Navarra, Comunidad Foral de;2016M11;2,84
Total Nacional;15 Navarra, Comunidad Foral de;2016M10;3,06
Total Nacional;15 Navarra, Comunidad Foral de;2016M09;2,6
Total Nacional;15 Navarra, Comunidad Foral de;2016M08;4,11
Total Nacional;15 Navarra, Comunidad Foral de;2016M07;2,81
Total Nacional;15 Navarra, Comunidad Foral de;2016M06;2,3
Total Nacional;15 Navarra, Comunidad Foral de;2016M05;2,27
Total Nacional;15 Navarra, Comunidad Foral de;2016M04;3,12
Total Nacional;15 Navarra, Comunidad Foral de;2016M03;3,93
Total Nacional;15 Navarra, Comunidad Foral de;2016M02;2,33
Total Nacional;15 Navarra, Comunidad Foral de;2016M01;2,3
Total Nacional;15 Navarra, Comunidad Foral de;2015M12;2,4
Total Nacional;15 Navarra, Comunidad Foral de;2015M11;2,35
Total Nacional;15 Navarra, Comunidad Foral de;2015M10;2,14
Total Nacional;15 Navarra, Comunidad Foral de;2015M09;2,55
Total Nacional;15 Navarra, Comunidad Foral de;2015M08;3,95
Total Nacional;15 Navarra, Comunidad Foral de;2015M07;2,95
Total Nacional;15 Navarra, Comunidad Foral de;2015M06;2,3
Total Nacional;15 Navarra, Comunidad Foral de;2015M05;2,33
Total Nacional;15 Navarra, Comunidad Foral de;2015M04;2,96
Total Nacional;15 Navarra, Comunidad Foral de;2015M03;2
Total Nacional;15 Navarra, Comunidad Foral de;2015M02;2,04
Total Nacional;15 Navarra, Comunidad Foral de;2015M01;2,33
Total Nacional;15 Navarra, Comunidad Foral de;2014M12;2,31
Total Nacional;15 Navarra, Comunidad Foral de;2014M11;2,63
Total Nacional;15 Navarra, Comunidad Foral de;2014M10;2,14
Total Nacional;15 Navarra, Comunidad Foral de;2014M09;2,18
Total Nacional;15 Navarra, Comunidad Foral de;2014M08;4,05
Total Nacional;15 Navarra, Comunidad Foral de;2014M07;2,8
Total Nacional;15 Navarra, Comunidad Foral de;2014M06;2,16
Total Nacional;15 Navarra, Comunidad Foral de;2014M05;1,95
Total Nacional;15 Navarra, Comunidad Foral de;2014M04;2,36
Total Nacional;15 Navarra, Comunidad Foral de;2014M03;2,15
Total Nacional;15 Navarra, Comunidad Foral de;2014M02;2,08
Total Nacional;15 Navarra, Comunidad Foral de;2014M01;2,45
Total Nacional;15 Navarra, Comunidad Foral de;2013M12;2,13
Total Nacional;15 Navarra, Comunidad Foral de;2013M11;2,12
Total Nacional;15 Navarra, Comunidad Foral de;2013M10;1,81
Total Nacional;15 Navarra, Comunidad Foral de;2013M09;2,16
Total Nacional;15 Navarra, Comunidad Foral de;2013M08;4,2
Total Nacional;15 Navarra, Comunidad Foral de;2013M07;3,33
Total Nacional;15 Navarra, Comunidad Foral de;2013M06;1,98
Total Nacional;15 Navarra, Comunidad Foral de;2013M05;1,81
Total Nacional;15 Navarra, Comunidad Foral de;2013M04;2,56
Total Nacional;15 Navarra, Comunidad Foral de;2013M03;2,56
Total Nacional;15 Navarra, Comunidad Foral de;2013M02;2,37
Total Nacional;15 Navarra, Comunidad Foral de;2013M01;2,58
Total Nacional;15 Navarra, Comunidad Foral de;2012M12;2,15
Total Nacional;15 Navarra, Comunidad Foral de;2012M11;1,99
Total Nacional;15 Navarra, Comunidad Foral de;2012M10;1,89
Total Nacional;15 Navarra, Comunidad Foral de;2012M09;2,12
Total Nacional;15 Navarra, Comunidad Foral de;2012M08;3,93
Total Nacional;15 Navarra, Comunidad Foral de;2012M07;2,91
Total Nacional;15 Navarra, Comunidad Foral de;2012M06;2,05
Total Nacional;15 Navarra, Comunidad Foral de;2012M05;1,73
Total Nacional;15 Navarra, Comunidad Foral de;2012M04;2,56
Total Nacional;15 Navarra, Comunidad Foral de;2012M03;1,98
Total Nacional;15 Navarra, Comunidad Foral de;2012M02;1,78
Total Nacional;15 Navarra, Comunidad Foral de;2012M01;2,06
Total Nacional;15 Navarra, Comunidad Foral de;2011M12;1,96
Total Nacional;15 Navarra, Comunidad Foral de;2011M11;2,47
Total Nacional;15 Navarra, Comunidad Foral de;2011M10;2,07
Total Nacional;15 Navarra, Comunidad Foral de;2011M09;2,12
Total Nacional;15 Navarra, Comunidad Foral de;2011M08;3,93
Total Nacional;15 Navarra, Comunidad Foral de;2011M07;2,73
Total Nacional;15 Navarra, Comunidad Foral de;2011M06;2,54
Total Nacional;15 Navarra, Comunidad Foral de;2011M05;2,02
Total Nacional;15 Navarra, Comunidad Foral de;2011M04;2,47
Total Nacional;15 Navarra, Comunidad Foral de;2011M03;2,03
Total Nacional;15 Navarra, Comunidad Foral de;2011M02;2,13
Total Nacional;15 Navarra, Comunidad Foral de;2011M01;2,27
Total Nacional;15 Navarra, Comunidad Foral de;2010M12;2,6
Total Nacional;15 Navarra, Comunidad Foral de;2010M11;1,83
Total Nacional;15 Navarra, Comunidad Foral de;2010M10;2,17
Total Nacional;15 Navarra, Comunidad Foral de;2010M09;2
Total Nacional;15 Navarra, Comunidad Foral de;2010M08;3,71
Total Nacional;15 Navarra, Comunidad Foral de;2010M07;2,76
Total Nacional;15 Navarra, Comunidad Foral de;2010M06;2,2
Total Nacional;15 Navarra, Comunidad Foral de;2010M05;2,04
Total Nacional;15 Navarra, Comunidad Foral de;2010M04;2,34
Total Nacional;15 Navarra, Comunidad Foral de;2010M03;2,2
Total Nacional;15 Navarra, Comunidad Foral de;2010M02;2,62
Total Nacional;15 Navarra, Comunidad Foral de;2010M01;3,28
Total Nacional;15 Navarra, Comunidad Foral de;2009M12;2,75
Total Nacional;15 Navarra, Comunidad Foral de;2009M11;2,28
Total Nacional;15 Navarra, Comunidad Foral de;2009M10;1,94
Total Nacional;15 Navarra, Comunidad Foral de;2009M09;2,06
Total Nacional;15 Navarra, Comunidad Foral de;2009M08;3,51
Total Nacional;15 Navarra, Comunidad Foral de;2009M07;2,61
Total Nacional;15 Navarra, Comunidad Foral de;2009M06;2,3
Total Nacional;15 Navarra, Comunidad Foral de;2009M05;2,17
Total Nacional;15 Navarra, Comunidad Foral de;2009M04;3,21
Total Nacional;15 Navarra, Comunidad Foral de;2009M03;3,43
Total Nacional;15 Navarra, Comunidad Foral de;2009M02;2,08
Total Nacional;15 Navarra, Comunidad Foral de;2009M01;2,35
Total Nacional;15 Navarra, Comunidad Foral de;2008M12;2,42
Total Nacional;15 Navarra, Comunidad Foral de;2008M11;1,98
Total Nacional;15 Navarra, Comunidad Foral de;2008M10;1,69
Total Nacional;15 Navarra, Comunidad Foral de;2008M09;2,39
Total Nacional;15 Navarra, Comunidad Foral de;2008M08;4,19
Total Nacional;15 Navarra, Comunidad Foral de;2008M07;3,4
Total Nacional;15 Navarra, Comunidad Foral de;2008M06;2,04
Total Nacional;15 Navarra, Comunidad Foral de;2008M05;2,39
Total Nacional;15 Navarra, Comunidad Foral de;2008M04;2,28
Total Nacional;15 Navarra, Comunidad Foral de;2008M03;3,58
Total Nacional;15 Navarra, Comunidad Foral de;2008M02;1,98
Total Nacional;15 Navarra, Comunidad Foral de;2008M01;1,95
Total Nacional;15 Navarra, Comunidad Foral de;2007M12;2,27
Total Nacional;15 Navarra, Comunidad Foral de;2007M11;1,88
Total Nacional;15 Navarra, Comunidad Foral de;2007M10;1,85
Total Nacional;15 Navarra, Comunidad Foral de;2007M09;2,01
Total Nacional;15 Navarra, Comunidad Foral de;2007M08;4,1
Total Nacional;15 Navarra, Comunidad Foral de;2007M07;2,95
Total Nacional;15 Navarra, Comunidad Foral de;2007M06;2,26
Total Nacional;15 Navarra, Comunidad Foral de;2007M05;2,51
Total Nacional;15 Navarra, Comunidad Foral de;2007M04;2,64
Total Nacional;15 Navarra, Comunidad Foral de;2007M03;2,32
Total Nacional;15 Navarra, Comunidad Foral de;2007M02;2,41
Total Nacional;15 Navarra, Comunidad Foral de;2007M01;2,64
Total Nacional;15 Navarra, Comunidad Foral de;2006M12;2,98
Total Nacional;15 Navarra, Comunidad Foral de;2006M11;2,18
Total Nacional;15 Navarra, Comunidad Foral de;2006M10;2,51
Total Nacional;15 Navarra, Comunidad Foral de;2006M09;2,22
Total Nacional;15 Navarra, Comunidad Foral de;2006M08;3,92
Total Nacional;15 Navarra, Comunidad Foral de;2006M07;2,5
Total Nacional;15 Navarra, Comunidad Foral de;2006M06;2,13
Total Nacional;15 Navarra, Comunidad Foral de;2006M05;2,15
Total Nacional;15 Navarra, Comunidad Foral de;2006M04;2,54
Total Nacional;15 Navarra, Comunidad Foral de;2006M03;2,27
Total Nacional;15 Navarra, Comunidad Foral de;2006M02;2,58
Total Nacional;15 Navarra, Comunidad Foral de;2006M01;2,77
Total Nacional;15 Navarra, Comunidad Foral de;2005M12;2,41
Total Nacional;15 Navarra, Comunidad Foral de;2005M11;2,45
Total Nacional;15 Navarra, Comunidad Foral de;2005M10;2,51
Total Nacional;15 Navarra, Comunidad Foral de;2005M09;2,11
Total Nacional;15 Navarra, Comunidad Foral de;2005M08;3,81
Total Nacional;15 Navarra, Comunidad Foral de;2005M07;3,09
Total Nacional;15 Navarra, Comunidad Foral de;2005M06;3,03
Total Nacional;15 Navarra, Comunidad Foral de;2005M05;1,94
Total Nacional;15 Navarra, Comunidad Foral de;2005M04;1,85
Total Nacional;15 Navarra, Comunidad Foral de;2005M03;2,51
Total Nacional;15 Navarra, Comunidad Foral de;2005M02;2
Total Nacional;15 Navarra, Comunidad Foral de;2005M01;2,18
Total Nacional;15 Navarra, Comunidad Foral de;2004M12;2,74
Total Nacional;15 Navarra, Comunidad Foral de;2004M11;1,93
Total Nacional;15 Navarra, Comunidad Foral de;2004M10;2,1
Total Nacional;15 Navarra, Comunidad Foral de;2004M09;2,02
Total Nacional;15 Navarra, Comunidad Foral de;2004M08;3,51
Total Nacional;15 Navarra, Comunidad Foral de;2004M07;2,26
Total Nacional;15 Navarra, Comunidad Foral de;2004M06;1,99
Total Nacional;15 Navarra, Comunidad Foral de;2004M05;1,87
Total Nacional;15 Navarra, Comunidad Foral de;2004M04;2,31
Total Nacional;15 Navarra, Comunidad Foral de;2004M03;2,54
Total Nacional;15 Navarra, Comunidad Foral de;2004M02;2,56
Total Nacional;15 Navarra, Comunidad Foral de;2004M01;2,89
Total Nacional;15 Navarra, Comunidad Foral de;2003M12;2,41
Total Nacional;15 Navarra, Comunidad Foral de;2003M11;1,85
Total Nacional;15 Navarra, Comunidad Foral de;2003M10;1,92
Total Nacional;15 Navarra, Comunidad Foral de;2003M09;2,39
Total Nacional;15 Navarra, Comunidad Foral de;2003M08;2,93
Total Nacional;15 Navarra, Comunidad Foral de;2003M07;2,33
Total Nacional;15 Navarra, Comunidad Foral de;2003M06;2
Total Nacional;15 Navarra, Comunidad Foral de;2003M05;2,06
Total Nacional;15 Navarra, Comunidad Foral de;2003M04;2,61
Total Nacional;15 Navarra, Comunidad Foral de;2003M03;2,19
Total Nacional;15 Navarra, Comunidad Foral de;2003M02;2,25
Total Nacional;15 Navarra, Comunidad Foral de;2003M01;1,99
Total Nacional;15 Navarra, Comunidad Foral de;2002M12;2,24
Total Nacional;15 Navarra, Comunidad Foral de;2002M11;2,24
Total Nacional;15 Navarra, Comunidad Foral de;2002M10;1,47
Total Nacional;15 Navarra, Comunidad Foral de;2002M09;1,78
Total Nacional;15 Navarra, Comunidad Foral de;2002M08;3,33
Total Nacional;15 Navarra, Comunidad Foral de;2002M07;2,63
Total Nacional;15 Navarra, Comunidad Foral de;2002M06;3,35
Total Nacional;15 Navarra, Comunidad Foral de;2002M05;2,84
Total Nacional;15 Navarra, Comunidad Foral de;2002M04;1,85
Total Nacional;15 Navarra, Comunidad Foral de;2002M03;2,14
Total Nacional;15 Navarra, Comunidad Foral de;2002M02;3,3
Total Nacional;15 Navarra, Comunidad Foral de;2002M01;2,77
Total Nacional;15 Navarra, Comunidad Foral de;2001M12;1,91
Total Nacional;15 Navarra, Comunidad Foral de;2001M11;2,64
Total Nacional;15 Navarra, Comunidad Foral de;2001M10;2,17
Total Nacional;15 Navarra, Comunidad Foral de;2001M09;2,51
Total Nacional;15 Navarra, Comunidad Foral de;2001M08;4,03
Total Nacional;15 Navarra, Comunidad Foral de;2001M07;3,02
Total Nacional;15 Navarra, Comunidad Foral de;2001M06;2,05
Total Nacional;15 Navarra, Comunidad Foral de;2001M05;2,07
Total Nacional;15 Navarra, Comunidad Foral de;2001M04;3,69
Total Nacional;15 Navarra, Comunidad Foral de;2001M03;2,29
Total Nacional;15 Navarra, Comunidad Foral de;2001M02;2,91
Total Nacional;15 Navarra, Comunidad Foral de;2001M01;3,39
Total Nacional;15 Navarra, Comunidad Foral de;2000M12;3
Total Nacional;15 Navarra, Comunidad Foral de;2000M11;2
Total Nacional;15 Navarra, Comunidad Foral de;2000M10;2
Total Nacional;15 Navarra, Comunidad Foral de;2000M09;2
Total Nacional;15 Navarra, Comunidad Foral de;2000M08;3
Total Nacional;15 Navarra, Comunidad Foral de;2000M07;2
Total Nacional;15 Navarra, Comunidad Foral de;2000M06;3
Total Nacional;15 Navarra, Comunidad Foral de;2000M05;2
Total Nacional;15 Navarra, Comunidad Foral de;2000M04;2
Total Nacional;15 Navarra, Comunidad Foral de;2000M03;1
Total Nacional;15 Navarra, Comunidad Foral de;2000M02;3
Total Nacional;15 Navarra, Comunidad Foral de;2000M01;2
Total Nacional;15 Navarra, Comunidad Foral de;1999M12;2,52
Total Nacional;15 Navarra, Comunidad Foral de;1999M11;1,35
Total Nacional;15 Navarra, Comunidad Foral de;1999M10;1,4
Total Nacional;15 Navarra, Comunidad Foral de;1999M09;1,37
Total Nacional;15 Navarra, Comunidad Foral de;1999M08;1,71
Total Nacional;15 Navarra, Comunidad Foral de;1999M07;4,18
Total Nacional;15 Navarra, Comunidad Foral de;1999M06;46
Total Nacional;15 Navarra, Comunidad Foral de;1999M05;36
Total Nacional;15 Navarra, Comunidad Foral de;1999M04;2,41
Total Nacional;15 Navarra, Comunidad Foral de;1999M03;18
Total Nacional;15 Navarra, Comunidad Foral de;1999M02;26
Total Nacional;15 Navarra, Comunidad Foral de;1999M01;4,79
Total Nacional;16 País Vasco;2025M02;2,02
Total Nacional;16 País Vasco;2025M01;2,23
Total Nacional;16 País Vasco;2024M12;3,73
Total Nacional;16 País Vasco;2024M11;3,02
Total Nacional;16 País Vasco;2024M10;2,38
Total Nacional;16 País Vasco;2024M09;2,48
Total Nacional;16 País Vasco;2024M08;3,57
Total Nacional;16 País Vasco;2024M07;3,36
Total Nacional;16 País Vasco;2024M06;2,56
Total Nacional;16 País Vasco;2024M05;2,19
Total Nacional;16 País Vasco;2024M04;2,29
Total Nacional;16 País Vasco;2024M03;2,71
Total Nacional;16 País Vasco;2024M02;2,52
Total Nacional;16 País Vasco;2024M01;3,38
Total Nacional;16 País Vasco;2023M12;5,08
Total Nacional;16 País Vasco;2023M11;5,15
Total Nacional;16 País Vasco;2023M10;2,7
Total Nacional;16 País Vasco;2023M09;2,62
Total Nacional;16 País Vasco;2023M08;3,56
Total Nacional;16 País Vasco;2023M07;3,26
Total Nacional;16 País Vasco;2023M06;2,86
Total Nacional;16 País Vasco;2023M05;2,64
Total Nacional;16 País Vasco;2023M04;2,69
Total Nacional;16 País Vasco;2023M03;3,46
Total Nacional;16 País Vasco;2023M02;1,97
Total Nacional;16 País Vasco;2023M01;2,23
Total Nacional;16 País Vasco;2022M12;2,75
Total Nacional;16 País Vasco;2022M11;4,68
Total Nacional;16 País Vasco;2022M10;2,57
Total Nacional;16 País Vasco;2022M09;2,56
Total Nacional;16 País Vasco;2022M08;3,57
Total Nacional;16 País Vasco;2022M07;3,35
Total Nacional;16 País Vasco;2022M06;2,79
Total Nacional;16 País Vasco;2022M05;2,14
Total Nacional;16 País Vasco;2022M04;2,68
Total Nacional;16 País Vasco;2022M03;2,25
Total Nacional;16 País Vasco;2022M02;2,4
Total Nacional;16 País Vasco;2022M01;2,22
Total Nacional;16 País Vasco;2021M12;2,75
Total Nacional;16 País Vasco;2021M11;2,7
Total Nacional;16 País Vasco;2021M10;2,08
Total Nacional;16 País Vasco;2021M09;2,23
Total Nacional;16 País Vasco;2021M08;3,41
Total Nacional;16 País Vasco;2021M07;3,22
Total Nacional;16 País Vasco;2021M06;3,08
Total Nacional;16 País Vasco;2021M05;2,7
Total Nacional;16 País Vasco;2021M04;4,55
Total Nacional;16 País Vasco;2021M03;2,57
