Comunidades y Ciudades Autónomas;Concepto turístico;RESIDENCIA/ORIGEN;Periodo;Total
Total Nacional;Pernoctaciones;Residentes en España;2017M03;434.946
Total Nacional;Pernoctaciones;Residentes en España;2017M02;247.451
Total Nacional;Pernoctaciones;Residentes en España;2017M01;215.028
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2023M02;1.046.329
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2023M01;1.081.670
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M12;894.582
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M11;826.727
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M10;1.330.562
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M09;1.870.617
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M08;3.970.841
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M07;3.502.908
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M06;1.780.352
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M05;1.367.349
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M04;1.110.233
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M03;908.844
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M02;949.459
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M01;944.042
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M12;827.034
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M11;757.449
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M10;1.138.896
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M09;1.487.107
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M08;2.447.476
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M07;1.687.114
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M06;632.455
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M05;386.127
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M04;324.391
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M03;358.151
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M02;356.412
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M01;399.055
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M12;360.042
