Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Total Nacional;Pernoctaciones;Total;2023M09;1.217.902
Total Nacional;Pernoctaciones;Total;2023M08;2.408.605
Total Nacional;Pernoctaciones;Total;2023M07;1.751.186
Total Nacional;Pernoctaciones;Total;2023M06;1.050.617
Total Nacional;Pernoctaciones;Total;2023M05;875.834
Total Nacional;Pernoctaciones;Total;2023M04;1.166.407
Total Nacional;Pernoctaciones;Total;2023M03;617.805
Total Nacional;Pernoctaciones;Total;2023M02;504.426
Total Nacional;Pernoctaciones;Total;2023M01;412.220
Total Nacional;Pernoctaciones;Total;2022M12;800.370
Total Nacional;Pernoctaciones;Total;2022M11;564.253
Total Nacional;Pernoctaciones;Total;2022M10;960.252
Total Nacional;Pernoctaciones;Total;2022M09;1.121.535
Total Nacional;Pernoctaciones;Total;2022M08;2.457.493
Total Nacional;Pernoctaciones;Total;2022M07;1.816.916
Total Nacional;Pernoctaciones;Total;2022M06;1.041.399
Total Nacional;Pernoctaciones;Total;2022M05;846.342
Total Nacional;Pernoctaciones;Total;2022M04;1.084.253
Total Nacional;Pernoctaciones;Total;2022M03;525.684
Total Nacional;Pernoctaciones;Total;2022M02;490.532
Total Nacional;Pernoctaciones;Total;2022M01;361.309
Total Nacional;Pernoctaciones;Total;2021M12;765.811
Total Nacional;Pernoctaciones;Total;2021M11;570.823
Total Nacional;Pernoctaciones;Total;2021M10;1.095.321
Total Nacional;Pernoctaciones;Total;2021M09;1.116.298
Total Nacional;Pernoctaciones;Total;2021M08;2.453.153
Total Nacional;Pernoctaciones;Total;2021M07;1.705.124
Total Nacional;Pernoctaciones;Total;2021M06;798.997
Total Nacional;Pernoctaciones;Total;2021M05;464.569
Total Nacional;Pernoctaciones;Total;2021M04;330.931
Total Nacional;Pernoctaciones;Total;2021M03;251.495
Total Nacional;Pernoctaciones;Total;2021M02;114.811
Total Nacional;Pernoctaciones;Total;2021M01;111.841
Total Nacional;Pernoctaciones;Total;2020M12;227.904
Total Nacional;Pernoctaciones;Total;2020M11;130.492
Total Nacional;Pernoctaciones;Total;2020M10;398.249
Total Nacional;Pernoctaciones;Total;2020M09;673.666
Total Nacional;Pernoctaciones;Total;2020M08;2.109.993
Total Nacional;Pernoctaciones;Total;2020M07;1.451.102
Total Nacional;Pernoctaciones;Total;2020M06;277.689
Total Nacional;Pernoctaciones;Total;2020M05;37.322
Total Nacional;Pernoctaciones;Total;2020M04;.
Total Nacional;Pernoctaciones;Total;2020M03;149.317
Total Nacional;Pernoctaciones;Total;2020M02;493.030
Total Nacional;Pernoctaciones;Total;2020M01;365.838
Total Nacional;Pernoctaciones;Total;2019M12;877.322
Total Nacional;Pernoctaciones;Total;2019M11;644.452
Total Nacional;Pernoctaciones;Total;2019M10;833.536
Total Nacional;Pernoctaciones;Total;2019M09;1.063.493
Total Nacional;Pernoctaciones;Total;2019M08;2.403.090
Total Nacional;Pernoctaciones;Total;2019M07;1.624.956
Total Nacional;Pernoctaciones;Total;2019M06;1.054.793
Total Nacional;Pernoctaciones;Total;2019M05;850.262
Total Nacional;Pernoctaciones;Total;2019M04;1.018.402
